Time,propulsion/engine[0]/thrust-N,propulsion/tank[0]/contents-kg,position/h-agl-m,velocities/vc-ms,attitude/phi-deg,attitude/theta-deg,attitude/psi-deg
0,0,4.06999668005879389,3.500000004990373,0,5.16909079005070285e-15,79.9999999956962284,359.99999998063322
0.1,503.116209407653571,4.06976155756026703,3.50000000597780891,2.86714757189186242,-4.85214529408620087e-14,79.9999999957395289,359.999999980633163
0.2,1004.95613733198149,4.0358732192392095,3.58452295678905752,3.18156724331175234,-0.00170338775190375822,80.0001040100978287,359.998270315473349
0.3,1327.14072827569157,3.97949207331217991,3.98390761290703166,6.12563402191599771,-0.00789685714429426595,80.0039084794657498,359.991981331200634
0.4,1401.03044611494806,3.9159567238719406,4.83245889466657808,10.3867435942859814,-0.022880874803819156,80.0154317511232023,359.976766573438738
0.5,1414.70908300904716,3.85057402838245322,6.16828978122176519,14.9883503058056036,-0.0529522503536866418,80.0385447109170514,359.946233726876017
0.6,1412.10497707203513,3.78502682670319679,8.00026970952404604,19.6718556024153912,-0.105106867013803243,80.076450377660862,359.893283677340776
0.7,1399.52682274296171,3.71990679639984112,10.3285056477937083,24.3535544995804578,-0.186773609396425289,80.1312157584271603,359.810383106324537
0.8,1388.38161045990319,3.65532533415352878,13.149515864898655,29.0106729226930504,-0.305817738267799011,80.2035653918808293,359.68956376199219
0.9,1379.80095869239267,3.59112583275160357,16.4602558313987899,33.6503803479514616,-0.470577635308175146,80.2927353750485508,359.522387655565296
1,1371.12182917444375,3.52743753801435078,20.2579827864770223,38.2576005760770101,-0.689837161125610554,80.3963442339262429,359.299976809225939
1.1,1360.51655841528418,3.46412777018232099,24.5398695349242999,42.841272445294976,-0.972611067167656107,80.5102776114209604,359.013231062829448
1.2,1351.2534438257801,3.40133033970291443,29.3027716105572544,47.3874865019326634,-1.32768758809457399,80.6286330318076949,358.653289493483328
1.3,1338.42914184473716,3.33898285972289344,34.5434947294961034,51.9000564510944784,-1.76282608672647645,80.743768602712521,358.212337837482664
1.4,1330.86230729707813,3.27713358670706079,40.258172674947474,56.3730096797548583,-2.28359691477715954,80.846513745120177,357.68477410664633
1.5,1322.98312644323119,3.21562200376204688,46.4439986969600085,60.819311458377797,-2.89192571164997103,80.9265916535665895,357.068669647133163
1.6,1318.23363264815225,3.15442796120534741,53.0985051672089057,65.2394991962449922,-3.5846087311844288,80.9732891835448783,356.36725777206567
1.7,1315.71817409680966,3.09338911366345348,60.2201241748788618,69.6469920431972582,-4.3522375620627205,80.9763910645846892,355.590010472256154
1.8,1311.53763663700624,3.03248494664759827,67.8080746979180873,74.0427544918441924,-5.17914669337364497,80.9273459660342525,354.752687850135146
1.9,1305.2024385087168,2.97187859951776012,75.8606452733111922,78.4112541590946108,-6.04485825610093741,80.8205897767362558,353.875884587810731
2,1313.07516930026554,2.91121239091039996,84.376053262831789,82.7833946725771028,-6.92708068134873578,80.6548747711903786,352.982015736880726
2.1,1313.91644906477109,2.85026053016229453,93.356645143076932,87.1791371415415028,-7.80566330040882939,80.434357505861982,352.091340153559088
2.2,1308.11889577633838,2.78950222233972722,102.802449197488187,91.5543746059062187,-8.66632997169462449,80.1692356220031144,351.218201849418449
2.3,1305.71070310331766,2.72893078944779921,112.710703867366163,95.9085474740895449,-9.50302761810838703,79.8756816332736861,350.368659237347572
2.4,1303.71971411777463,2.66845535528774791,123.079422230785667,100.249006339645035,-10.3182435204925955,79.5748012416414241,349.540156652790756
2.5,1304.25912167665524,2.607981006733604,133.907113592328272,104.583452128607576,-11.1213048586368188,79.2905375681091726,348.72323461333076
2.6,1297.26565724454372,2.54773440457149825,145.192237740711619,108.890511388231729,-11.9251563326300705,79.0466124566843433,347.904791151620145
2.7,1296.21529965454647,2.48763912898345607,156.931462316704653,113.176073387353313,-12.7421632171793782,78.8628103740982596,347.072349445593829
2.8,1287.97075738426361,2.42774797037523138,169.122807454751069,117.43474797803492,-13.5793098520092599,78.7512016754642588,346.218954025916446
