Time,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/h-sl-meters,/fdm/jsbsim/aero/alpha-rad,velocities/vtrue-ms,velocities/vg-ms,attitude/phi-deg,attitude/theta-deg,attitude/psi-deg,aero/qbar-Pa
0,40.2428650000000019,140.010449999999992,8.80004833817482002,-1.72787595947438621,3.0000000960021258,0,-1.42320829130084566e-13,80.9999999956424119,291.999999984291208,5.50789427286405076
0.01,40.2428649999999237,140.010450000000134,8.80004825982749495,-1.72787595947084749,0.562075875545928083,4.48509247367493465e-12,-1.34188210322652091e-12,80.99999999564794,291.9999999842899,0.193345001661280907
0.02,40.2428649999989574,140.010450000003146,8.80004654186368107,-1.7278759594105042,0.562075625744473006,8.71400380611968816e-11,-2.76509039452676128e-12,80.9999999956516064,291.999999984289957,0.193344829834865062
0.03,40.2428649999903243,140.010450000029692,8.80003121190369164,-1.72787595886962575,0.56207338283067676,8.29623556115085055e-10,-4.04597785668846496e-12,80.9999999956375376,291.999999984304111,0.193343287045866952
0.04,40.242864999979318,140.010450000063514,8.80001166027188297,-1.72787595812960881,0.562070310780471427,1.84654431072478442e-09,-5.22520758374795148e-12,80.9999999956160224,291.999999984324234,0.19334117394511513
0.05,40.2428649999643895,140.010450000109387,8.7999851493537431,-1.72787595713123188,0.562066165054272537,3.21865599645208431e-09,-6.32311112272014801e-12,80.9999999955850711,291.999999984351859,0.193338322337692797
0.06,40.2428649999459154,140.010450000166088,8.79995238881707209,-1.72787595588785381,0.562061004736039926,4.92687266500342261e-09,-7.38035156763958035e-12,80.9999999955452665,291.999999984386534,0.193334772880025013
0.07,40.2428649999227943,140.010450000237114,8.79991134957969301,-1.72787595433220864,0.562054547451916076,7.06420908937804313e-09,-8.25460808937427031e-12,80.9999999954938232,291.999999984430588,0.193330331367118607
0.08,40.2428649998939463,140.010450000325676,8.79986016493141676,-1.72787595239123704,0.562046490577842173,9.73106536183402443e-09,-9.0882015170477288e-12,80.9999999954281975,291.999999984485839,0.193324789679943959
0.09,40.2428649998622063,140.010450000423162,8.79980384115278724,-1.72787595023180396,0.562037528473829817,1.26976834454817854e-08,-9.86080030364587157e-12,80.9999999953546848,291.999999984547458,0.193318625449923565
0.1,40.2428649998307151,140.010450000519882,8.79974796588420993,-1.72787594785210796,0.562027651552288732,1.59668909198077661e-08,-1.05520729021505334e-11,80.9999999952730292,291.999999984615556,0.193311832112536774
0.11,40.242865000649104,140.010449997964741,8.80068845966756363,-0.878488091832488882,0.577707249203875395,0.0459668807186843567,-0.000144268682847591698,81.0000096526553222,291.999853915957146,0.204248401168844879
0.12,40.2428650031156963,140.010449990271553,8.80361390451192882,-0.433192230516227295,0.670166508355305335,0.0960099207476693833,-0.000619426229989582353,81.0000467771476593,291.999372830527705,0.274857979388525075
0.13,40.2428650074373238,140.01044997680745,8.80889332540333392,-0.248480925711527079,0.839356433035146621,0.151070869416388198,-0.00147399284163396579,81.0001136892491758,291.998507603002736,0.431157093573342198
0.14,40.242865013762156,140.010449957121097,8.81678770523071265,-0.158456112212685685,1.06680955349948681,0.210225675388256122,-0.0028003347978563806,81.0002127197092108,291.997164715671715,0.696492031882383178
0.15,40.2428650222790552,140.010449930637378,8.82762955004274907,-0.105774072018687951,1.3554829693739201,0.276227313009886122,-0.00472643766716095756,81.0003477423896356,291.995214587677367,1.12442382321682888
0.16,40.2428650332754856,140.010449896479628,8.84192575113773316,-0.0723067650131302836,1.70827126212424574,0.35055966400407651,-0.00741606504700784847,81.0005233093964989,291.992491414318579,1.78589113447604575
0.17,40.2428650470387126,140.010449853772798,8.86018236978650187,-0.050240284005383988,2.11964625353367397,0.432898886059006394,-0.0110712431607160443,81.000744010916307,291.988790651875831,2.7495861141278799
0.18,40.2428650638220589,140.010449801747001,8.88284485935866819,-0.0354492009871816699,2.56711750720785625,0.520044284295198889,-0.0159300221898928743,81.0010137039654268,291.983871284503152,4.03302674620654145
0.19,40.2428650837119619,140.010449740145475,8.91006238294243857,-0.0252575525167449758,3.02552487171427309,0.6083132895212362,-0.0222564722985820092,81.0013346045131044,291.97746595344114,5.60195898800767988
0.2,40.2428651067620109,140.010449668808519,8.9419278684139254,-0.0178328300525838201,3.5004142366523765,0.698803984761973473,-0.0302658434607539564,81.0017052779903395,291.969356729773097,7.49852811702793343
0.21,40.2428651330649174,140.010449587439325,8.97861267159283294,-0.0122471325264074341,3.99217141371659867,0.791685523399523583,-0.0398087060481574981,81.0021155767813354,291.959694909092775,9.75335366675017568
0.22,40.2428651626863925,140.010449495812026,9.02024627562761339,-0.00794580207856621264,4.50090915825397797,0.887047224024611558,-0.0504386306900236545,81.0025517229487235,291.948932486763624,12.3975072395600474
0.23,40.2428651957195314,140.010449393616739,9.06700654938519079,-0.00457838376960747768,5.02418326371551149,0.984553408220653847,-0.0617157286741752478,81.003003031655183,291.937514834343517,15.4476659776466327
0.24,40.2428652322096383,140.010449280695951,9.11898363657295796,-0.00190531564803535615,5.55870625281461805,1.08372168144110459,-0.0733307749143135429,81.0034625822403882,291.925755030532969,18.9093764012979868
0.25,40.2428652722364859,140.010449156791509,9.1763261722862719,0.000241855253280693017,6.10942733168285379,1.18535360225399922,-0.0851210367111239485,81.0039256756782464,291.913817835725467,22.8416973731641733
0.26,40.2428653158694019,140.01044902168195,9.2391619989216327,0.00197941268388933649,6.67040111559497451,1.28853054891895136,-0.0970424480253325866,81.0043882044121233,291.901747865097661,27.2288090806567986
0.27,40.242865363155822,140.010448875217065,9.30757812061607837,0.00339506767936706508,7.24155364797460344,1.39325228935525236,-0.109153423825479337,81.0048453767696657,291.889485979765652,32.0911586631570387
0.28,40.2428654141615922,140.010448717191906,9.38169338572025424,0.00455151367835569722,7.82559900363251959,1.49995207814032971,-0.121563645947954602,81.0052914288036305,291.87692112562155,37.4760649070872631
0.29,40.2428654689491694,140.010448547414256,9.46161969919502788,0.00549888989392665305,8.41892933953387335,1.60806930272651694,-0.134454037458626385,81.0057185410072265,291.863870130560429,43.3739723162600654
0.3,40.2428655275557006,140.010448365769946,9.54742381863892042,0.00627777396878804669,9.01745587273122595,1.71696744499808829,-0.148016277918231187,81.0061174295661033,291.850138929045613,49.7599507972807515
0.31,40.2428655900114265,140.010448172166662,9.63916008076071762,0.00691606507840685468,9.62349061765772973,1.82701194232118391,-0.162458965151001222,81.0064771948610201,291.835516326811728,56.6726237640188657
0.32,40.2428656563708245,140.010447966437965,9.73692575092613666,0.00743379371218576019,10.2406737733386421,1.9387754022086825,-0.178032385314994296,81.0067848645599469,291.819748925592876,64.1742868204586614
0.33,40.2428657266838457,140.010447748430721,9.84081038126349483,0.00785359877298944312,10.8626897078903273,2.05127063171687052,-0.194991831930712622,81.0070263076918451,291.802578246882831,72.2061857048792888
0.34,40.242865800964239,140.010447518102865,9.95083935062885416,0.00819012664422768231,11.4897967708884838,2.16454034102976367,-0.213591015087357283,81.0071859850071405,291.78374742464672,80.7829598206593289
0.35,40.2428658792659775,140.010447275286424,10.0671105943143377,0.00844999764647558042,12.1291459120595562,2.27970636383709868,-0.234081852645888044,81.0072473940721522,291.763001405739089,90.0224150263756542
0.36,40.2428659616342088,140.010447019839233,10.1897069799453028,0.00865095670283620721,12.7691307508382934,2.39495349335827878,-0.256713368210179427,81.0071934948335866,291.740088054946341,99.7717922452694381
0.37,40.2428660480403693,140.010446751846644,10.3185798492908489,0.00880396306994030327,13.4054316105689058,2.50960799230086717,-0.281731666624017885,81.0070062998450737,291.714758202597181,109.961671823854786
0.38,40.2428661384930138,140.010446471276964,10.4537478626400233,0.00890967014970002295,14.0466110764109402,2.62501301371547191,-0.309380004399683273,81.0066677599387504,291.686765545002345,120.730558586210819
0.39,40.2428662330119735,140.010446178061613,10.5952507284611475,0.00897544014508506148,14.6894801101325569,2.74067203399364834,-0.339896976494203529,81.0061592021807684,291.655868506448542,132.032560088071108
0.4,40.2428663315975257,140.010445872190701,10.7430939651310453,0.00900532379948959516,15.3347449917358762,2.85669862572344924,-0.373515693609818622,81.0054621228887868,291.62183104693878,143.884875133765689
0.41,40.2428664342688123,140.0104455535932,10.8973179726183425,0.00900297535442762427,15.9824289862147495,2.97309967364323002,-0.410462461034506787,81.004557990425937,291.584424012200031,156.293588538541172
0.42,40.242866541030395,140.010445222241003,11.0579379957228898,0.00897017160268824901,16.6351645215841515,3.0902909037365931,-0.450955237457908997,81.0034283858452397,291.543426693311005,169.317987655585
0.43,40.2428666519189591,140.01044487800246,11.2250285336673272,0.00891005476880072679,17.2920988158208466,3.20814264295381157,-0.495201963246113375,81.0020554482712356,291.498628506233899,182.95207790341729
0.44,40.2428667669249833,140.010444520888228,11.3985815972954043,0.00882791812473614733,17.9476175760883017,3.32577973259334048,-0.543403102902292878,81.0004216039256448,291.449826427622327,197.082610167609261
0.45,40.2428668860442471,140.010444150889214,11.5786000729680065,0.00872499331154740626,18.6029329732462863,3.44339622802126266,-0.59575395668121256,80.9985097302593431,291.396822648726356,211.733719257863328
0.46,40.2428670092548515,140.010443768049441,11.7650558101505052,0.00860538747639962541,19.2526914156747289,3.56015800200041044,-0.652436824711210894,80.9963033045526259,291.339432513619272,226.778724117084806
0.47,40.2428671365272805,140.010443372433514,11.9579081897288564,0.00846714854650940617,19.9043166155091455,3.67723283257217792,-0.713619060729113741,80.9937869651448636,291.277486473109036,242.385093469446332
0.48,40.2428672678829429,140.010442963941074,12.1572108875691889,0.00831165342909495793,20.5573780450349659,3.79455828581167509,-0.779450269313655575,80.9909460531411725,291.210832942781735,258.546401747272171
0.49,40.2428674032902194,140.010442542636525,12.3629222285717724,0.00814213794563355131,21.206875506603275,3.91135592811916766,-0.850060005241616623,80.9877674328513564,291.139340604668007,275.136271412955864
0.5,40.2428675427390061,140.010442108511796,12.5750415416747341,0.00795816440051977034,21.8561644487702296,4.02815703020329785,-0.925555976269156866,80.9842388455264768,291.062900256449552,292.235873392868541
0.51,40.2428676862067718,140.010441661594569,12.793546953213216,0.00776144629045453713,22.5030055361171151,4.14461587484641658,-1.00602149030930565,80.9803495903078101,290.981427373460804,309.782990867145941
0.52,40.2428678336839596,140.010441201866342,13.0184422987997532,0.00755033698868579246,23.1545156021436291,4.2618550552310559,-1.09151319403779601,80.976090394309054,290.894864407768239,327.973334069520149
0.53,40.2428679851937616,140.010440729197967,13.249794012424351,0.00732563126593669452,23.8107875497062871,4.37989559176789367,-1.18205778681969487,80.9714535308458778,290.803184114418968,346.820696786611052
0.54,40.2428681407170998,140.010440243592228,13.4875922155112029,0.00709154917042824698,24.4606004209231749,4.49698122284800217,-1.27764916177138854,80.9664328351740892,290.70639245099818,366.000598093808605
0.55,40.2428683001962639,140.010439745173386,13.7317569812983287,0.00684844391432053168,25.1046256656098805,4.61322261537652167,-1.37824737949021991,80.9610241842552654,290.604529605320863,385.518199912276771
0.56,40.2428684636110034,140.010439233938882,13.9822800095111131,0.00659450961108860607,25.7513383239733677,4.72995777920205107,-1.48377639978674369,80.955225073040026,290.497672313796215,405.626711318662331
0.57,40.2428686309657095,140.010438709799644,14.2392015161722902,0.00632990080927939899,26.4027005864526458,4.84750205575364035,-1.59412055116335161,80.9490349819208888,290.38593742695889,426.395804779847367
0.58,40.2428688022629331,140.010438172666767,14.5025607124149811,0.00605569550515834467,27.0569970384911045,4.96559221086711045,-1.70912145463938869,80.94245537203021,290.269485031412046,447.779725692150635
0.59,40.2428689774898629,140.010437622498216,14.7723694604784264,0.0057732464545274878,27.7105545173128114,5.08365423626747326,-1.82860355295521226,80.9354890617786253,290.148492602539875,469.660912849473107
0.6,40.2428691566217154,140.010437059291718,15.0486167792469274,0.0054827784407507716,28.364589175946179,5.20188467512946939,-1.95245266005548346,80.9281382884327343,290.023075463523185,492.079710712081464
0.61,40.2428693396557478,140.010436482966497,15.3313354871660472,0.00518382502748268754,29.0241397535133316,5.32108466539040226,-2.08054564394449981,80.92040655811671,289.893357990081711,515.216051216078995
