height,u_wind,v_wind,wind_velocity,wind_direction,pressure
10.0,1.8308467864990234,-3.9381494522094727,4.3429277064638745,335.06627024357965,101.49736938476562
130.92357444763184,1.8464393615722656,-3.916524887084961,4.329954446309945,334.7585415876759,100.0
352.6364440917969,1.810441017150879,-3.8227710723876953,4.229807956452217,334.6580509022954,97.5
578.489013671875,1.7608070373535156,-3.6762943267822266,4.076221461099096,334.4073278388491,95.0
808.8202514648438,1.7703781127929688,-3.2998104095458984,3.744727947555585,331.78603978607896,92.5
1044.4271240234375,1.4653205871582031,-2.654155731201172,3.0317828201600605,331.09755289743066,90.0
1535.0430908203125,3.930440902709961,-2.6797266006469727,4.757026418248113,304.28568808289083,85.0
2050.784423828125,5.024335861206055,-2.681584358215332,5.695159832386298,298.08969529872235,80.0
3169.105712890625,10.669622421264648,-3.0659427642822266,11.101389446650714,286.03213751480456,70.0
4432.98681640625,11.703428268432617,-3.0743942260742188,12.100501357037492,284.718582440314,60.0
5884.48193359375,11.447444915771484,-8.037986755371094,13.987609737876715,305.0751592982151,50.0
7602.783203125,13.390763282775879,-8.290603637695312,15.749496816492437,301.7628316167025,40.0
9717.9365234375,17.56977081298828,-11.268159866333008,20.872668089972898,302.673591326234,30.0
10988.04296875,20.524354934692383,-12.744853973388672,24.159479470556327,301.838728808474,25.0
12468.990234375,24.187152862548828,-13.81928825378418,27.856616654530775,299.7414133341619,20.0
14278.8125,20.787067413330078,-15.568222045898438,25.9705931645145,306.8309303179803,15.0
16757.732421875,13.739751815795898,-9.686351776123047,16.81089499968603,305.18335400651597,10.0
