Wind (from south),Wind (from west),Wind (vertical),Wind speed,altitude,temperature
3.092153549,-4.788962364,0,5.700488935,10,
3.548262596,-4.858745575,0,6.016442139,102.8198318,
6.463311195,-2.614209175,0,6.971978286,328.135437,
7.288672447,-0.513338089,0,7.306727177,558.6051331,
5.784331322,1.52863884,0,5.982911126,794.416748,
4.879014969,1.993699074,0,5.270637823,1035.33313,
5.833878517,0.038789749,0,5.834007473,1533.89502,
6.901562691,2.283539772,0,7.269533786,2056.272339,
5.436929226,3.727409363,0,6.591948116,3189.006836,
5.97889328,3.423965454,0,6.889898714,4464.329102,
10.80886745,5.579839706,0,12.16413691,5928.040527,
16.23010635,5.544958115,0,17.15117817,7660.063965,
14.35828781,1.87821579,0,14.48061198,9769.626953,
7.315273285,-1.378913879,0,7.444100128,11033.63477,
-2.199899673,-5.612127304,0,6.027896105,12521.14746,
2.705213547,-2.417362213,0,3.627922326,14340.23047,
3.232135773,-3.356298447,0,4.659553725,16791.35547,
