Wind (from south),Wind (from west),Wind (vertical),Wind speed,altitude,temperature
,,,4.852531429,408,
,,,4.856487842,410,
,,,4.860428205,412,
,,,4.86435266,414,
,,,4.868261347,416,
,,,4.872154407,418,
,,,4.876031974,420,
,,,4.879894185,422,
,,,4.883741172,424,
,,,4.887573066,426,
,,,4.891389999,428,
,,,4.895192096,430,
,,,4.898979486,432,
,,,4.902752291,434,
,,,4.906510636,436,
,,,4.910254641,438,
,,,4.913984427,440,
,,,4.917700111,442,
,,,4.921401811,444,
,,,4.925089642,446,
,,,4.928763717,448,
,,,4.932424149,450,
,,,4.936071048,452,
,,,4.939704526,454,
,,,4.943324689,456,
,,,4.946931644,458,
,,,4.950525497,460,
,,,4.954106353,462,
,,,4.957674314,464,
,,,4.961229482,466,
,,,4.964771958,468,
,,,4.96830184,470,
,,,4.971819227,472,
,,,4.975324215,474,
,,,4.978816902,476,
,,,4.98229738,478,
,,,4.985765743,480,
,,,4.989222085,482,
,,,4.992666496,484,
,,,4.996099066,486,
,,,4.999519885,488,
,,,5.00292904,490,
,,,5.00632662,492,
,,,5.009712709,494,
,,,5.013087394,496,
,,,5.016450758,498,
,,,5.019802884,500,
,,,5.023143856,502,
,,,5.026473753,504,
,,,5.029792657,506,
,,,5.033100647,508,
,,,5.036397802,510,
,,,5.0396842,512,
,,,5.042959916,514,
,,,5.046225029,516,
,,,5.049479612,518,
,,,5.05272374,520,
,,,5.055957487,522,
,,,5.059180926,524,
,,,5.062394128,526,
,,,5.065597165,528,
,,,5.068790108,530,
,,,5.071973025,532,
,,,5.075145986,534,
,,,5.07830906,536,
,,,5.081462314,538,
,,,5.084605814,540,
,,,5.087739627,542,
,,,5.090863818,544,
,,,5.093978452,546,
,,,5.097083593,548,
,,,5.100179304,550,
,,,5.103265649,552,
,,,5.106342689,554,
,,,5.109410486,556,
,,,5.112469101,558,
,,,5.115518594,560,
,,,5.118559024,562,
,,,5.121590451,564,
,,,5.124612933,566,
,,,5.127626528,568,
,,,5.130631293,570,
,,,5.133627285,572,
,,,5.13661456,574,
,,,5.139593174,576,
,,,5.142563181,578,
,,,5.145524637,580,
,,,5.148477595,582,
,,,5.151422109,584,
,,,5.154358232,586,
,,,5.157286015,588,
,,,5.160205512,590,
,,,5.163116773,592,
,,,5.16601985,594,
,,,5.168914792,596,
,,,5.17180165,598,
,,,5.174680474,600,
,,,5.177551311,602,
,,,5.180414212,604,
,,,5.183269224,606,
,,,5.186116394,608,
,,,5.188955771,610,
,,,5.1917874,612,
,,,5.194611328,614,
,,,5.197427601,616,
,,,5.200236265,618,
,,,5.203037364,620,
,,,5.205830943,622,
,,,5.208617047,624,
,,,5.21139572,626,
,,,5.214167004,628,
,,,5.216930943,630,
,,,5.21968758,632,
,,,5.222436957,634,
,,,5.225179115,636,
,,,5.227914097,638,
,,,5.230641944,640,
,,,5.233362696,642,
,,,5.236076394,644,
,,,5.238783078,646,
,,,5.241482788,648,
,,,5.244175564,650,
,,,5.246861443,652,
,,,5.249540465,654,
,,,5.252212669,656,
,,,5.254878093,658,
,,,5.257536773,660,
,,,5.260188748,662,
,,,5.262834055,664,
,,,5.26547273,666,
,,,5.268104811,668,
,,,5.270730332,670,
,,,5.27334933,672,
,,,5.275961841,674,
