Wind (from south),Wind (from west),Wind (vertical),Wind speed,altitude,temperature
3.386106491,-4.366542816,0,5.525614295,10,
3.851792336,-4.334213257,0,5.798422954,103.5338287,
6.954285622,-2.185624123,0,7.289653031,328.8613892,
7.412597656,0.468457222,0,7.427385555,559.5233765,
6.457051277,2.763612747,0,7.023607806,795.3326416,
5.302190781,2.973954201,0,6.079278795,1036.24292,
6.132167816,2.162316322,0,6.502237615,1534.836914,
6.802310944,2.455310822,0,7.231872884,2056.921875,
5.373541832,4.276875496,0,6.867795558,3189.072754,
5.55104351,3.115813255,0,6.365718836,4464.112793,
11.47914886,5.273980141,0,12.63272438,5928.313965,
16.46949291,4.994590759,0,17.21017529,7660.897461,
13.36485004,4.093456268,0,13.97768224,9772.651367,
7.166643143,-0.730882645,0,7.20381589,11036.72363,
-2.554334641,-6.105855942,0,6.618617849,12524.56641,
2.017110825,-3.439477921,0,3.987322967,14342.9668,
2.738629818,-3.672952652,0,4.581558083,16791.22266,
