Wind (from south),Wind (from west),Wind (vertical),Wind speed,altitude,temperature
0,-3,0,3,0,298.5842527
0,-4,0,4,100,296.9174798
5,0,0,5,600,295.5183949
4,0,0,4,750,294.1
2.828,-2.828,0,4,900,292.7
3.535,-3.535,0,5,1500,289.9
5,0,0,5,2000,287.1
6,0,0,6,3000,222
7,0,0,7,4200,
