Wind (from south),Wind (from west),Wind (vertical),Wind speed,altitude,temperature
-2.816466226,-2.816466226,0,3.983084735,111,
-2.822085147,-2.822085147,0,3.991031089,112,
-2.827665182,-2.827665182,0,3.998922451,113,
-2.833206941,-2.833206941,0,4.006759682,114,
-2.838711019,-2.838711019,0,4.014543623,115,
-2.844177996,-2.844177996,0,4.022275096,116,
-2.84960844,-2.84960844,0,4.029954903,117,
-2.855002902,-2.855002902,0,4.037583825,118,
-2.860361924,-2.860361924,0,4.045162627,119,
-2.865686034,-2.865686034,0,4.052692054,120,
-2.870975746,-2.870975746,0,4.060172837,121,
-2.876231565,-2.876231565,0,4.067605688,122,
-2.881453983,-2.881453983,0,4.074991302,123,
-2.886643482,-2.886643482,0,4.082330361,124,
-2.891800531,-2.891800531,0,4.08962353,125,
-2.896925591,-2.896925591,0,4.09687146,126,
-2.902019111,-2.902019111,0,4.104074786,127,
-2.907081533,-2.907081533,0,4.111234131,128,
-2.912113287,-2.912113287,0,4.118350105,129,
-2.917114793,-2.917114793,0,4.125423303,130,
-2.922086465,-2.922086465,0,4.132454309,131,
-2.927028705,-2.927028705,0,4.139443693,132,
-2.93194191,-2.93194191,0,4.146392014,133,
-2.936826467,-2.936826467,0,4.15329982,134,
-2.941682753,-2.941682753,0,4.160167646,135,
-2.946511142,-2.946511142,0,4.166996018,136,
-2.951311995,-2.951311995,0,4.17378545,137,
-2.956085669,-2.956085669,0,4.180536445,138,
-2.960832515,-2.960832515,0,4.187249498,139,
-2.965552873,-2.965552873,0,4.193925093,140,
-2.970247079,-2.970247079,0,4.200563703,141,
-2.974915462,-2.974915462,0,4.207165794,142,
-2.979558345,-2.979558345,0,4.213731821,143,
-2.984176043,-2.984176043,0,4.220262233,144,
-2.988768867,-2.988768867,0,4.226757467,145,
-2.993337121,-2.993337121,0,4.233217953,146,
-2.997881103,-2.997881103,0,4.239644114,147,
-3.002401106,-3.002401106,0,4.246036364,148,
-3.006897417,-3.006897417,0,4.252395108,149,
-3.011370319,-3.011370319,0,4.258720746,150,
-3.015820088,-3.015820088,0,4.265013669,151,
-3.020246995,-3.020246995,0,4.271274262,152,
-3.024651307,-3.024651307,0,4.2775029,153,
-3.029033287,-3.029033287,0,4.283699955,154,
-3.033393191,-3.033393191,0,4.289865791,155,
-3.037731272,-3.037731272,0,4.296000764,156,
-3.042047778,-3.042047778,0,4.302105225,157,
-3.046342953,-3.046342953,0,4.308179519,158,
-3.050617036,-3.050617036,0,4.314223985,159,
-3.054870262,-3.054870262,0,4.320238956,160,
-3.059102863,-3.059102863,0,4.326224757,161,
-3.063315065,-3.063315065,0,4.332181711,162,
-3.067507093,-3.067507093,0,4.338110134,163,
-3.071679165,-3.071679165,0,4.344010335,164,
-3.075831498,-3.075831498,0,4.34988262,165,
-3.079964304,-3.079964304,0,4.35572729,166,
-3.08407779,-3.08407779,0,4.361544638,167,
-3.088172163,-3.088172163,0,4.367334956,168,
-3.092247624,-3.092247624,0,4.373098529,169,
-3.096304372,-3.096304372,0,4.378835637,170,
