height,u_wind,v_wind,wind_velocity,wind_direction,pressure
10.0,-4.366542816162109,3.386106491088867,5.5256142947523115,127.79236961330425,101.16743774414063
103.53382873535156,-4.3342132568359375,3.851792335510254,5.798422953840804,131.6273233024376,100.0
328.86138916015625,-2.185624122619629,6.954285621643066,7.289653031027493,162.55287532198204,97.5
559.5233764648438,0.4684572219848633,7.41259765625,7.427385554976446,183.61613772391294,95.0
795.3326416015625,2.763612747192383,6.4570512771606445,7.023607805987329,203.17088576686425,92.5
1036.242919921875,2.973954200744629,5.302190780639648,6.079278794596174,209.28770023008605,90.0
1534.8369140625,2.16231632232666,6.132167816162109,6.502237615111791,199.4235972638417,85.0
2056.921875,2.455310821533203,6.802310943603516,7.231872883548646,199.84717218265848,80.0
3189.07275390625,4.2768754959106445,5.373541831970215,6.867795558070634,218.51676216723484,70.0
4464.11279296875,3.1158132553100586,5.551043510437012,6.36571883582135,209.3055958621631,60.0
5928.31396484375,5.273980140686035,11.479148864746094,12.632724376924886,204.67594250406816,50.0
7660.8974609375,4.994590759277344,16.46949291229248,17.210175293724085,196.8706185436067,40.0
9772.6513671875,4.093456268310547,13.364850044250488,13.977682244416389,197.02905315078118,30.0
11036.7236328125,-0.7308826446533203,7.166643142700195,7.203815889864702,174.17688206986693,25.0
12524.56640625,-6.105855941772461,-2.5543346405029297,6.618617849472146,67.29840458018538,20.0
14342.966796875,-3.4394779205322266,2.017110824584961,3.9873229671656283,120.38985082906893,15.0
16791.22265625,-3.672952651977539,2.7386298179626465,4.581558082519849,126.70897684827376,10.0
