Wind (from south),Wind (from west),Wind (vertical),Wind speed,altitude,temperature
3.223628998,-3.256284714,0,4.582049111,10,
3.59431076,-3.22013855,0,4.825801708,105.4669113,
6.610369682,-1.065452576,0,6.695683425,330.8239441,
6.603798866,1.943312645,0,6.883794266,561.2599487,
5.766230583,3.136659622,0,6.564148743,796.7485962,
4.4609375,3.321680069,0,5.561791246,1037.642273,
5.370252609,2.519144058,0,5.931753524,1535.99707,
5.252846718,5.327309608,0,7.481485568,2058.045654,
6.541924,3.004766464,0,7.198985423,3190.847168,
6.881656647,2.581661224,0,7.349977747,4466.289551,
10.7849474,4.750620842,0,11.78488391,5928.835449,
15.82893562,4.934253693,0,16.58017076,7663.464355,
10.99035835,1.530227661,0,11.09637659,9775.873047,
8.311389923,-1.38734436,0,8.426382784,11039.30566,
1.01738739,-3.000989914,0,3.16875647,12524.89844,
4.00195694,-1.578323364,0,4.301948859,14345.34961,
1.634614944,-2.48588562,0,2.975162741,16796.29688,
