height,u_wind,v_wind,wind_velocity,wind_direction,pressure
10.0,-1.0563087463378906,-1.3991432189941406,1.7531086431956269,37.05164686503643,101.458349609375
127.20244979858398,-0.8989448547363281,-1.6636905670166016,1.8910230444489404,28.383761297546897,100.0
348.4374542236328,-0.19692420959472656,-2.9996604919433594,3.0061174646461146,3.7560113798104138,97.5
574.004150390625,0.9151840209960938,-4.051605224609375,4.153681100947515,347.27153479881486,95.0
804.279052734375,2.564983367919922,-3.8641042709350586,4.637935046371864,326.42388617386274,92.5
1039.697021484375,2.705108642578125,-4.015665054321289,4.841815630179248,326.0342545095684,90.0
1529.7098388671875,3.582782745361328,-1.7270793914794922,3.9773276738197003,295.73637799596634,85.0
2045.8994140625,5.6369733810424805,-1.7683563232421875,5.9078382666193665,287.4169907105797,80.0
3166.058349609375,9.561636924743652,-2.581075668334961,9.903880668015544,285.1064122242078,70.0
4431.6279296875,10.516960144042969,-3.521993637084961,11.091027447944363,288.5150301198028,60.0
5878.95703125,11.633604049682617,-6.042476654052734,13.109243582280563,297.4472975721196,50.0
7596.08056640625,13.01662826538086,-5.906368255615234,14.293977660891011,294.4064385392626,40.0
9712.4931640625,16.605175018310547,-10.187957763671875,19.481435285499032,301.5308276482287,30.0
10986.224609375,15.60702896118164,-8.637863159179688,17.837938024106826,298.96276487928856,25.0
12466.23046875,18.346023559570312,-14.600522994995117,23.44678767284956,308.5142225416584,20.0
14283.732421875,19.80323600769043,-9.96662712097168,22.169840156049275,296.7153237872425,15.0
16756.93359375,14.653879165649414,-10.259044647216797,17.88810139939512,304.9955081127929,10.0
