time[s],thrust gnd[N],nozzle_exhaust_pressure[Pa]
0.0,5.740161429,101300
0.025000000000034106,84.21208714,101300
0.05000000000001137,531.2929114,101300
0.07499999999998863,385.5171214,101300
0.10000000000002274,257.72256,101300
0.125,250.4169,101300
0.1500000000000341,264.2108914,101300
0.17500000000001137,252.1982571,101300
0.19999999999998863,240.3889071,101300
0.22500000000002274,246.9673543,101300
0.25,270.5902457,101300
0.2750000000000341,270.9779529,101300
0.30000000000001137,265.8015386,101300
0.32499999999998863,243.0022629,101300
0.35000000000002274,243.5722971,101300
0.375,246.5021057,101300
0.4000000000000341,274.8298757,101300
0.42500000000001137,275.6702571,101300
0.44999999999998863,290.04057,101300
0.47500000000002274,251.9635371,101300
0.5,238.06476,101300
0.5250000000000341,243.2998543,101300
0.5500000000000114,243.0881871,101300
0.5749999999999886,269.8378843,101300
0.6000000000000227,270.55881,101300
0.625,261.3523371,101300
0.6500000000000341,255.1050129,101300
0.6750000000000114,254.5517443,101300
0.6999999999999886,257.3138957,101300
0.7250000000000227,262.5741386,101300
0.75,270.1312843,101300
0.7750000000000341,278.6943729,101300
0.8000000000000114,270.2696014,101300
0.8249999999999886,254.2667271,101300
0.8500000000000227,253.2167743,101300
0.875,235.1789614,101300
0.9000000000000341,224.87643,101300
0.9250000000000114,217.8536914,101300
0.9499999999999886,202.6911986,101300
0.9750000000000227,232.2743014,101300
1.0,227.34099,101300
1.025000000000034,221.8355486,101300
1.0500000000000114,244.8946929,101300
1.0749999999999886,260.8577486,101300
1.1000000000000227,250.8150857,101300
1.125,263.4941571,101300
1.150000000000034,257.4815529,101300
1.1750000000000114,262.4483957,101300
1.1999999999999886,214.0709271,101300
1.2250000000000227,222.3846257,101300
1.25,218.3315143,101300
1.275000000000034,187.8912643,101300
1.3000000000000114,202.6136571,101300
1.3249999999999886,229.0594757,101300
1.3500000000000227,214.2176271,101300
1.375,206.0632029,101300
1.400000000000034,262.9555586,101300
1.4250000000000114,232.6829657,101300
1.4499999999999886,235.79091,101300
1.4750000000000227,214.5068357,101300
1.5,206.2874443,101300
1.525000000000034,254.2772057,101300
1.5500000000000114,234.2840914,101300
1.5749999999999886,219.8404286,101300
1.6000000000000227,159.52158,101300
1.625,251.9383886,101300
1.650000000000034,260.1808329,101300
1.6750000000000114,233.2739571,101300
1.6999999999999886,177.7459114,101300
1.7250000000000227,236.8282886,101300
1.75,222.1079914,101300
1.775000000000034,200.9245114,101300
1.8000000000000114,225.4003586,101300
1.8249999999999886,192.3069343,101300
1.8500000000000227,197.9339271,101300
1.875,229.0846243,101300
1.900000000000034,196.4690229,101300
1.9250000000000114,185.0871986,101300
1.9499999999999886,186.5940171,101300
1.9750000000000227,180.8978657,101300
2.0,254.3379814,101300
2.025000000000034,203.3387743,101300
2.0500000000000114,170.7650871,101300
2.0749999999999886,264.2884329,101300
2.1000000000000227,175.3987114,101300
2.125,179.1605186,101300
2.150000000000034,174.4828843,101300
2.1750000000000114,201.59514,101300
2.1999999999999886,199.7970171,101300
2.2250000000000227,184.5968014,101300
2.25,188.42148,101300
2.275000000000034,166.2907371,101300
2.3000000000000114,177.6117857,101300
2.3249999999999886,192.4054329,101300
2.3500000000000227,196.4543529,101300
2.375,192.1874786,101300
2.400000000000034,165.05217,101300
2.4250000000000114,192.3257957,101300
2.4499999999999886,170.4255814,101300
2.4750000000000227,182.3481,101300
2.5,171.3539829,101300
2.525000000000034,159.6473229,101300
2.5500000000000114,170.1489471,101300
2.5749999999999886,172.02042,101300
2.6000000000000227,170.8593943,101300
2.625,176.9830714,101300
2.650000000000034,177.3833529,101300
2.6750000000000114,160.7056586,101300
2.6999999999999886,157.5474171,101300
2.7250000000000227,147.7164214,101300
2.75,137.64861,101300
2.775000000000034,128.1298757,101300
2.8000000000000114,119.4850543,101300
2.8249999999999886,112.8458314,101300
2.8500000000000227,107.1685414,101300
2.875,103.8153986,101300
2.900000000000034,99.44164286,101300
2.9250000000000114,96.09269143,101300
2.9499999999999886,93.37245429,101300
2.9750000000000227,89.82441,101300
3.0,87.09159857,101300
3.025000000000034,84.92882143,101300
3.0500000000000114,80.98678286,101300
3.0749999999999886,78.01925143,101300
3.1000000000000227,76.26723429,101300
3.125,73.65597429,101300
3.150000000000034,71.41984714,101300
3.1750000000000114,69.59867143,101300
3.1999999999999886,67.18021714,101300
3.2250000000000227,64.64859429,101300
3.25,62.18403429,101300
3.275000000000034,61.55322429,101300
3.3000000000000114,60.31884857,101300
3.3249999999999886,57.36808286,101300
3.3500000000000227,56.32651286,101300
3.375,54.10505571,101300
3.400000000000034,52.52488714,101300
3.4250000000000114,52.15394571,101300
3.4499999999999886,50.73305143,101300
3.4750000000000227,48.85319571,101300
3.5,48.23286429,101300
3.525000000000034,47.51193857,101300
3.5500000000000114,45.69495429,101300
3.5749999999999886,43.56780429,101300
3.6000000000000227,42.70646571,101300
3.625,41.84093571,101300
3.650000000000034,40.77212143,101300
3.6750000000000114,41.30024143,101300
3.6999999999999886,40.31525571,101300
3.7,0,101300
100000,0,101300
