Time,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/h-sl-meters,/fdm/jsbsim/aero/alpha-rad,velocities/vtrue-ms,velocities/vg-ms,attitude/phi-deg,attitude/theta-deg,attitude/psi-deg,aero/qbar-Pa
0,40.2428650000000019,140.010449999999992,8.80004833817482002,0,0,0,-1.42320829130084566e-13,80.9999999956424119,291.999999984291208,0
0.01,40.2428649999999237,140.010450000000134,8.80004825982749495,0,4.54664740891348334e-12,4.48509247367493465e-12,-1.34188210322652091e-12,80.99999999564794,291.9999999842899,1.26510219754066649e-23
0.02,40.2428649999989574,140.010450000003146,8.80004654186368107,0,8.8173366491191915e-11,8.71400380611968816e-11,-2.76509039452676128e-12,80.9999999956516064,291.999999984289957,4.75792841083865486e-21
0.03,40.2428649999903243,140.010450000029692,8.80003121190369164,0,8.3935131102496337e-10,8.29623556115085055e-10,-4.04597785668846496e-12,80.9999999956375376,291.999999984304111,4.31152198312545306e-19
0.04,40.242864999979318,140.010450000063514,8.80001166027188297,0,1.86815496185796654e-09,1.84654431072478442e-09,-5.22520758374795148e-12,80.9999999956160224,291.999999984324234,2.13584068420286023e-18
0.05,40.2428649999643895,140.010450000109387,8.7999851493537431,0,3.25629599087652828e-09,3.21865599645208431e-09,-6.32311112272014801e-12,80.9999999955850711,291.999999984351859,6.48919476972558632e-18
0.06,40.2428649999459154,140.010450000166088,8.79995238881707209,0,4.98448198711523668e-09,4.92687266500342261e-09,-7.38035156763958035e-12,80.9999999955452665,291.999999984386534,1.52048844319083776e-17
0.07,40.2428649999227943,140.010450000237114,8.79991134957969301,0,7.14680061723661296e-09,7.06420908937804313e-09,-8.25460808937427031e-12,80.9999999954938232,291.999999984430588,3.12583749223823653e-17
0.08,40.2428649998939463,140.010450000325676,8.79986016493141676,0,9.84482421730967086e-09,9.73106536183402443e-09,-9.0882015170477288e-12,80.9999999954281975,291.999999984485839,5.93142437642618622e-17
0.09,40.2428649998622063,140.010450000423162,8.79980384115278724,0,1.28461201115648352e-08,1.26976834454817854e-08,-9.86080030364587157e-12,80.9999999953546848,291.999999984547458,1.00992012029559777e-16
0.1,40.2428649998307151,140.010450000519882,8.79974796588420993,0,1.61535400874845332e-08,1.59668909198077661e-08,-1.05520729021505334e-11,80.9999999952730292,291.999999984615556,1.59690285743337035e-16
