Alpha,CD0
-1.570796327,30.488
-1.396263402,29.58338931
-1.221730476,26.97866665
-1.047197551,22.988
-0.872664626,18.09272267
-0.698131701,12.88327733
-0.523598776,7.988
-0.34906585,3.997333353
-0.174532925,1.392610688
0,0.437
0.174532925,1.392610688
0.34906585,3.997333353
0.523598776,7.988
0.698131701,12.88327733
0.872664626,18.09272267
1.047197551,22.988
1.221730476,26.97866665
1.396263402,29.58338931
1.570796327,30.488
