    ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      130    0.000    0.000    0.001    0.000 parser.py:270(parse_block_node_or_indentless_sequence)
     5855    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.001    0.001 context.py:1(<module>)
        2    0.000    0.000    0.001    0.001 grouper.py:689(codes)
        1    0.000    0.000    0.001    0.001 grouper.py:777(_codes_and_uniques)
        1    0.000    0.000    0.001    0.001 fields.py:1(<module>)
       81    0.001    0.000    0.001    0.000 managers.py:2246(_stack_arrays)
        1    0.000    0.000    0.001    0.001 omegaconf.py:101(register_default_resolvers)
       64    0.000    0.000    0.001    0.000 shutil.py:294(copymode)
      755    0.000    0.000    0.001    0.000 common.py:1571(validate_all_hashable)
        1    0.000    0.000    0.001    0.001 tasks.py:1(<module>)
        2    0.000    0.000    0.001    0.001 frame.py:1400(_get_values_for_csv)
       75    0.000    0.000    0.001    0.000 accessor.py:188(__init__)
        2    0.000    0.000    0.001    0.001 managers.py:459(get_values_for_csv)
        4    0.000    0.000    0.001    0.000 dtypes.py:243(_from_values_or_dtype)
      461    0.000    0.000    0.001    0.000 typing.py:317(_deduplicate)
  709/161    0.000    0.000    0.001    0.000 <frozen abc>:121(__subclasscheck__)
        6    0.000    0.000    0.001    0.000 typing_extensions.py:985(__new__)
        1    0.000    0.000    0.001    0.001 _scimath_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 socket.py:1(<module>)
      509    0.000    0.000    0.001    0.000 _inspect.py:96(getargspec)
       65    0.000    0.000    0.001    0.000 kml_generator.py:7(__init__)
        3    0.000    0.000    0.001    0.000 concat.py:202(_maybe_reindex_columns_na_proxy)
        6    0.000    0.000    0.001    0.000 blocks.py:775(get_values_for_csv)
      727    0.000    0.000    0.001    0.000 {built-in method fromkeys}
 1002/267    0.001    0.000    0.001    0.000 _parser.py:178(getwidth)
  709/161    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.001    0.001 charset.py:1(<module>)
       84    0.000    0.000    0.001    0.000 blocks.py:1287(take_nd)
        3    0.000    0.000    0.001    0.000 main.py:243(__init__)
        3    0.001    0.000    0.001    0.000 {method 'validate_python' of 'pydantic_core._pydantic_core.SchemaValidator' objects}
      176    0.000    0.000    0.001    0.000 typing_extensions.py:3474(_collect_parameters)
        1    0.000    0.000    0.001    0.001 dumper.py:1(<module>)
      518    0.000    0.000    0.001    0.000 _methods.py:67(_all)
       64    0.000    0.000    0.001    0.000 typing.py:1074(_generic_class_getitem)
      796    0.000    0.000    0.001    0.000 selectors.py:215(_fileobj_lookup)
        2    0.001    0.000    0.001    0.000 ATNDeserializer.py:378(verifyATN)
    58/17    0.000    0.000    0.001    0.000 typing.py:1326(_determine_new_args)
        1    0.000    0.000    0.001    0.001 lazy.py:1(<module>)
       45    0.000    0.000    0.001    0.000 __init__.py:310(_from_text_for)
     1700    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      820    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      267    0.000    0.000    0.001    0.000 nanops.py:209(_maybe_get_mask)
      565    0.001    0.000    0.001    0.000 blocks.py:2716(new_block)
     4036    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      263    0.000    0.000    0.001    0.000 base.py:782(_rename)
     3804    0.001    0.000    0.001    0.000 base.py:909(__len__)
       67    0.000    0.000    0.001    0.000 _generate_schema.py:366(_list_schema)
    58/17    0.000    0.000    0.001    0.000 typing.py:1355(_make_substitution)
        8    0.000    0.000    0.001    0.000 __init__.py:794(<genexpr>)
       65    0.000    0.000    0.001    0.000 kml.py:52(__init__)
     2184    0.001    0.000    0.001    0.000 typing.py:2344(get_origin)
     2281    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
       62    0.000    0.000    0.001    0.000 enum.py:966(_get_mixins_)
        1    0.000    0.000    0.001    0.001 format.py:660(_truncate_horizontally)
        7    0.000    0.000    0.001    0.000 __init__.py:692(search)
        1    0.000    0.000    0.001    0.001 _policybase.py:1(<module>)
        2    0.000    0.000    0.001    0.000 frame.py:3951(T)
      319    0.001    0.000    0.001    0.000 missing.py:564(_array_equivalent_object)
     4994    0.001    0.000    0.001    0.000 typing.py:1273(<genexpr>)
       17    0.000    0.000    0.001    0.000 _functools.py:75(wrapper)
        1    0.000    0.000    0.001    0.001 aliases.py:1(<module>)
      119    0.000    0.000    0.001    0.000 typing.py:2120(__class_getitem__)
        1    0.000    0.000    0.001    0.001 expr.py:1(<module>)
        2    0.000    0.000    0.001    0.000 frame.py:3767(transpose)
      213    0.000    0.000    0.001    0.000 featgeom.py:1037(__init__)
        1    0.001    0.001    0.001    0.001 types.py:1576(Secret)
     4036    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      106    0.000    0.000    0.001    0.000 __init__.py:312(<genexpr>)
        2    0.000    0.000    0.001    0.000 _strptime.py:275(__init__)
     1751    0.000    0.000    0.001    0.000 scanner.py:145(need_more_tokens)
        1    0.000    0.000    0.001    0.001 simulation.py:1(<module>)
       72    0.000    0.000    0.001    0.000 common.py:160(is_url)
       64    0.000    0.000    0.001    0.000 _base.py:537(set_result)
        3    0.000    0.000    0.001    0.000 concat.py:699(new_axes)
      549    0.001    0.000    0.001    0.000 inspect.py:2743(__init__)
       14    0.000    0.000    0.001    0.000 core.py:113(doc_note)
     1234    0.000    0.000    0.001    0.000 series.py:734(name)
        1    0.000    0.000    0.001    0.001 rolling.py:1855(Rolling)
      782    0.000    0.000    0.001    0.000 multi.py:830(__len__)
       64    0.001    0.000    0.001    0.000 generic.py:2176(__getstate__)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
      194    0.001    0.000    0.001    0.000 multi.py:1574(_set_names)
      403    0.000    0.000    0.001    0.000 common.py:301(maybe_iterable_to_list)
      417    0.000    0.000    0.001    0.000 base.py:836(__iter__)
     2547    0.001    0.000    0.001    0.000 minidom.py:1021(__init__)
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
     1219    0.001    0.000    0.001    0.000 generic.py:586(_get_axis)
        1    0.000    0.000    0.001    0.001 frame.py:4514(_set_item)
      106    0.000    0.000    0.001    0.000 __init__.py:316(<genexpr>)
      132    0.000    0.000    0.001    0.000 dataclasses.py:760(_get_field)
      738    0.000    0.000    0.001    0.000 ATNDeserializer.py:474(edgeFactory)
      258    0.000    0.000    0.001    0.000 connection.py:390(_recv)
        7    0.000    0.000    0.001    0.000 __init__.py:701(lookup)
       62    0.001    0.000    0.001    0.000 enum.py:1007(_find_data_type_)
        7    0.000    0.000    0.001    0.000 __init__.py:707(__init__)
        1    0.000    0.000    0.001    0.001 sslproto.py:1(<module>)
      199    0.000    0.000    0.001    0.000 selectors.py:347(__init__)
       77    0.000    0.000    0.001    0.000 indexing.py:957(_validate_tuple_indexer)
        1    0.000    0.000    0.001    0.001 _typing_extra.py:1(<module>)
     2877    0.001    0.000    0.001    0.000 inference.py:334(is_hashable)
       80    0.000    0.000    0.001    0.000 warnings.py:133(filterwarnings)
       70    0.001    0.000    0.001    0.000 readers.py:1627(_get_options_with_defaults)
        4    0.000    0.000    0.001    0.000 generic.py:4361(_slice)
      140    0.000    0.000    0.001    0.000 base.py:3955(_get_indexer)
     8164    0.001    0.000    0.001    0.000 _parser.py:240(__next)
        1    0.000    0.000    0.001    0.001 _function_base_impl.py:1(<module>)
     2489    0.001    0.000    0.001    0.000 minidom.py:681(__init__)
       66    0.000    0.000    0.001    0.000 dictconfig.py:438(_get_impl)
       72    0.000    0.000    0.001    0.000 parse.py:374(urlparse)
       74    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
       43    0.000    0.000    0.001    0.000 typing.py:1855(__new__)
      103    0.000    0.000    0.001    0.000 <frozen abc>:110(register)
       93    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1689(path_hook_for_FileFinder)
        1    0.000    0.000    0.001    0.001 ATNSimulator.py:1(<module>)
        1    0.000    0.000    0.001    0.001 expanding.py:1(<module>)
       40    0.000    0.000    0.001    0.000 dataclasses.py:1192(_add_slots)
        1    0.000    0.000    0.001    0.001 _utils.py:136(get_yaml_loader)
      666    0.000    0.000    0.001    0.000 ATNDeserializer.py:496(stateFactory)
        1    0.000    0.000    0.001    0.001 ATNConfig.py:1(<module>)
2422/2341    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
      281    0.000    0.000    0.001    0.000 {method 'max' of 'numpy.ndarray' objects}
     3107    0.000    0.000    0.001    0.000 format.py:1828(<genexpr>)
        1    0.000    0.000    0.001    0.001 merge.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _identifier.py:1(<module>)
       63    0.000    0.000    0.001    0.000 dictconfig.py:361(__getitem__)
      106    0.000    0.000    0.001    0.000 __init__.py:103(<genexpr>)
    17195    0.001    0.000    0.001    0.000 <frozen codecs>:276(reset)
      332    0.000    0.000    0.001    0.000 threading.py:394(notify)
        1    0.000    0.000    0.001    0.001 ATNState.py:1(<module>)
     2776    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        3    0.000    0.000    0.001    0.000 concat.py:717(_get_concat_axis)
        1    0.000    0.000    0.001    0.001 expanding.py:51(Expanding)
       70    0.000    0.000    0.001    0.000 base_parser.py:115(__init__)
        1    0.000    0.000    0.001    0.001 ParserATNSimulator.py:1(<module>)
     4975    0.001    0.000    0.001    0.000 printing.py:510(len)
       88    0.000    0.000    0.001    0.000 typing.py:1546(__getitem__)
        1    0.000    0.000    0.001    0.001 cast.py:1(<module>)
      560    0.000    0.000    0.001    0.000 blocks.py:2645(maybe_coerce_values)
        3    0.000    0.000    0.001    0.000 concat.py:777(_concat_indexes)
       72    0.000    0.000    0.001    0.000 common.py:131(close)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.001    0.001 frame.py:4481(_set_item_mgr)
       70    0.000    0.000    0.001    0.000 series.py:6459(any)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
      243    0.000    0.000    0.001    0.000 _utils.py:541(get_value_kind)
       83    0.000    0.000    0.001    0.000 queue.py:154(get)
      213    0.000    0.000    0.001    0.000 construction.py:769(_try_cast)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
       81    0.000    0.000    0.001    0.000 managers.py:1782(_consolidate_inplace)
        1    0.000    0.000    0.001    0.001 timeouts.py:1(<module>)
        3    0.000    0.000    0.001    0.000 composer.py:99(compose_sequence_node)
      866    0.000    0.000    0.001    0.000 typing.py:1205(__getattr__)
       64    0.000    0.000    0.001    0.000 kml.py:380(newpoint)
      820    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
     6390    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      145    0.000    0.000    0.001    0.000 base.py:6394(_should_compare)
     5028    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     6320    0.000    0.000    0.001    0.000 ATNDeserializer.py:88(adjust)
      199    0.000    0.000    0.001    0.000 styleselector.py:54(__init__)
      132    0.000    0.000    0.001    0.000 multi.py:2957(_get_loc_single_level_index)
        1    0.000    0.000    0.001    0.001 constructor.py:1(<module>)
        1    0.000    0.000    0.001    0.001 managers.py:1347(insert)
      409    0.000    0.000    0.001    0.000 indexing.py:1667(_validate_integer)
      796    0.000    0.000    0.001    0.000 selectors.py:21(_fileobj_to_fd)
     1117    0.001    0.000    0.001    0.000 frozen.py:76(__getitem__)
        1    0.001    0.001    0.001    0.001 array.py:237(ArrowExtensionArray)
      446    0.000    0.000    0.001    0.000 common.py:1081(is_numeric_dtype)
       53    0.000    0.000    0.001    0.000 typing.py:2125(_class_getitem_inner)
       71    0.000    0.000    0.001    0.000 range.py:137(__new__)
     1116    0.001    0.000    0.001    0.000 base.py:5373(__getitem__)
     8392    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.001    0.001 getlimits.py:167(_register_known_types)
      903    0.000    0.000    0.001    0.000 {built-in method builtins.any}
     1700    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
       65    0.000    0.000    0.001    0.000 process.py:86(wakeup)
  366/325    0.000    0.000    0.001    0.000 typing.py:1600(__hash__)
     8181    0.001    0.000    0.001    0.000 typing.py:1630(<genexpr>)
        1    0.000    0.000    0.001    0.001 resample.py:1(<module>)
     2443    0.001    0.000    0.001    0.000 managers.py:2004(internal_values)
      281    0.000    0.000    0.001    0.000 _methods.py:42(_amax)
       64    0.000    0.000    0.001    0.000 featgeom.py:556(newpoint)
      820    0.000    0.000    0.001    0.000 __init__.py:101(find_spec)
       73    0.001    0.000    0.001    0.000 {method 'close' of '_io.TextIOWrapper' objects}
       45    0.000    0.000    0.001    0.000 __init__.py:347(__new__)
       28    0.000    0.000    0.001    0.000 inspect.py:882(cleandoc)
     2489    0.000    0.000    0.001    0.000 minidom.py:516(keys)
      130    0.000    0.000    0.001    0.000 expatbuilder.py:155(getParser)
      808    0.001    0.000    0.001    0.000 base.py:5323(__contains__)
      820    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
       70    0.000    0.000    0.001    0.000 readers.py:1685(_clean_options)
        1    0.000    0.000    0.001    0.001 sysconfig.py:537(_init_posix)
       67    0.000    0.000    0.001    0.000 _generate_schema.py:255(_extract_json_schema_info_from_field_info)
       70    0.000    0.000    0.001    0.000 dictconfig.py:168(_validate_set)
       67    0.000    0.000    0.001    0.000 base.py:1146(take)
      165    0.000    0.000    0.001    0.000 _parser.py:98(closegroup)
      103    0.000    0.000    0.001    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.001    0.001 typing_extensions.py:1(<module>)
       64    0.000    0.000    0.001    0.000 _base.py:328(__init__)
        1    0.000    0.000    0.001    0.001 _utils_impl.py:1(<module>)
       64    0.001    0.000    0.001    0.000 {built-in method posix.chmod}
6066/5795    0.001    0.000    0.001    0.000 {built-in method builtins.hash}
       75    0.000    0.000    0.001    0.000 fromnumeric.py:3328(prod)
        1    0.000    0.000    0.001    0.001 _core.py:1(<module>)
      200    0.000    0.000    0.001    0.000 enum.py:1561(__and__)
      207    0.001    0.000    0.001    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.001    0.001 runtime.py:1(<module>)
     5451    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
      590    0.001    0.000    0.001    0.000 {built-in method numpy.array}
       20    0.000    0.000    0.001    0.000 parser.py:381(parse_block_sequence_entry)
      154    0.000    0.000    0.001    0.000 indexing.py:1574(_validate_key)
      131    0.000    0.000    0.001    0.000 copy.py:61(copy)
        1    0.000    0.000    0.001    0.001 constructor.py:171(SafeConstructor)
      820    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
      509    0.000    0.000    0.001    0.000 pathlib.py:429(_format_parsed_parts)
        2    0.000    0.000    0.001    0.000 indexing.py:1004(_getitem_tuple_same_dim)
       77    0.000    0.000    0.001    0.000 nodes.py:34(_set_value)
        1    0.000    0.000    0.001    0.001 __init__.py:12(__getattr__)
      282    0.000    0.000    0.001    0.000 base.py:5170(_get_engine_target)
      201    0.000    0.000    0.001    0.000 dictconfig.py:455(_get_node)
      844    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
     1700    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.001    0.001 dataframe_protocol.py:1(<module>)
     6556    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      154    0.000    0.000    0.001    0.000 format.py:764(_get_formatter)
     1902    0.000    0.000    0.001    0.000 construction.py:416(extract_array)
        1    0.000    0.000    0.001    0.001 groupby.py:1225(GroupBy)
        1    0.000    0.000    0.001    0.001 typing_objects.py:1(<module>)
      144    0.000    0.000    0.001    0.000 common.py:1165(_is_binary_mode)
        1    0.000    0.000    0.001    0.001 interval.py:186(IntervalArray)
        6    0.000    0.000    0.001    0.000 getlimits.py:35(__init__)
      393    0.000    0.000    0.001    0.000 _utils.py:508(_is_missing_value)
       76    0.000    0.000    0.001    0.000 fromnumeric.py:69(_wrapreduction)
       72    0.000    0.000    0.001    0.000 common.py:550(infer_compression)
      701    0.000    0.000    0.001    0.000 missing.py:380(notna)
      270    0.000    0.000    0.001    0.000 styleselector.py:96(linestyle)
       64    0.000    0.000    0.001    0.000 managers.py:372(setitem)
        1    0.000    0.000    0.001    0.001 environment.py:144(Environment)
      192    0.000    0.000    0.001    0.000 shutil.py:224(_stat)
       40    0.000    0.000    0.001    0.000 typing.py:1560(__getitem_inner__)
     1700    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
        1    0.000    0.000    0.001    0.001 multi.py:2267(append)
       69    0.000    0.000    0.001    0.000 base.py:6916(delete)
        1    0.000    0.000    0.001    0.001 arrow_parser_wrapper.py:1(<module>)
       67    0.001    0.000    0.001    0.000 {built-in method pydantic_core._pydantic_core.to_jsonable_python}
        1    0.000    0.000    0.001    0.001 config_init.py:1(<module>)
      780    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       64    0.000    0.000    0.001    0.000 featgeom.py:1218(__init__)
        1    0.000    0.000    0.001    0.001 base.py:320(Index)
        1    0.000    0.000    0.001    0.001 floating.py:1(<module>)
      308    0.000    0.000    0.001    0.000 dataclasses.py:701(_is_type)
        1    0.000    0.000    0.001    0.001 timeouts.py:26(Timeout)
     1822    0.000    0.000    0.001    0.000 construction.py:735(_sanitize_str_dtypes)
       64    0.000    0.000    0.001    0.000 managers.py:1066(iset)
        1    0.000    0.000    0.001    0.001 ParseTreePatternMatcher.py:1(<module>)
        1    0.000    0.000    0.001    0.001 melt.py:1(<module>)
       82    0.000    0.000    0.001    0.000 printing.py:567(get_adjustment)
        1    0.000    0.000    0.001    0.001 PredictionMode.py:1(<module>)
     6556    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     1069    0.000    0.000    0.001    0.000 minidom.py:392(_set_value)
        1    0.000    0.000    0.001    0.001 main.py:14(get_arguments)
      144    0.000    0.000    0.001    0.000 _known_annotated_metadata.py:106(expand_grouped_metadata)
      336    0.001    0.000    0.001    0.000 blocks.py:790(copy)
        1    0.000    0.000    0.001    0.001 multi.py:1193(_engine)
        1    0.000    0.000    0.001    0.001 decimal.py:1(<module>)
       53    0.000    0.000    0.001    0.000 typing.py:2026(__init__)
       67    0.000    0.000    0.001    0.000 fields.py:470(merge_field_infos)
      394    0.000    0.000    0.001    0.000 cast.py:972(coerce_indexer_dtype)
        1    0.000    0.000    0.001    0.001 _generics.py:1(<module>)
      393    0.000    0.000    0.001    0.000 printing.py:513(justify)
      815    0.001    0.000    0.001    0.000 generic.py:6284(__getattr__)
       69    0.000    0.000    0.001    0.000 nodes.py:59(__new__)
      263    0.000    0.000    0.001    0.000 base.py:85(_chrconvert)
      144    0.000    0.000    0.001    0.000 common.py:248(stringify_path)
       69    0.000    0.000    0.001    0.000 basecontainer.py:86(_resolve_with_default)
       22    0.000    0.000    0.001    0.000 dataclasses.py:882(_hash_add)
     2948    0.000    0.000    0.001    0.000 _parser.py:256(match)
      692    0.000    0.000    0.001    0.000 managers.py:180(blknos)
        8    0.000    0.000    0.001    0.000 process.py:80(__init__)
     1738    0.000    0.000    0.001    0.000 format.py:1740(<genexpr>)
       61    0.000    0.000    0.001    0.000 __init__.py:457(_replace)
     1580    0.000    0.000    0.001    0.000 format.py:1749(just)
      225    0.000    0.000    0.001    0.000 base.py:82(shape)
      410    0.000    0.000    0.001    0.000 series.py:1471(_set_as_cached)
       72    0.000    0.000    0.001    0.000 config.py:811(inner)
       22    0.000    0.000    0.001    0.000 dataclasses.py:675(_hash_fn)
       92    0.000    0.000    0.001    0.000 take.py:564(_take_preprocess_indexer_and_fill_value)
  693/528    0.000    0.000    0.001    0.000 base.py:189(_get_flag)
      458    0.000    0.000    0.001    0.000 managers.py:1850(from_blocks)
        1    0.000    0.000    0.001    0.001 nanops.py:1(<module>)
        4    0.000    0.000    0.001    0.000 generic.py:4027(take)
        3    0.000    0.000    0.001    0.000 algorithms.py:1452(safe_sort)
       65    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_encode}
        1    0.000    0.000    0.001    0.001 __init__.py:469(StrFormatStyle)
        1    0.000    0.000    0.001    0.001 _known_annotated_metadata.py:1(<module>)
      490    0.000    0.000    0.001    0.000 _inspect.py:65(getargs)
      284    0.000    0.000    0.001    0.000 typing.py:1481(<genexpr>)
      199    0.000    0.000    0.000    0.000 selectors.py:202(__exit__)
        1    0.000    0.000    0.000    0.000 LexerActionExecutor.py:1(<module>)
     3683    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        2    0.000    0.000    0.000    0.000 _strptime.py:62(__init__)
        3    0.000    0.000    0.000    0.000 format.py:425(__init__)
       77    0.000    0.000    0.000    0.000 nodes.py:56(validate_and_convert)
       69    0.000    0.000    0.000    0.000 parse.py:469(urlsplit)
      138    0.000    0.000    0.000    0.000 scanner.py:1311(scan_plain_spaces)
        1    0.000    0.000    0.000    0.000 connection.py:1(<module>)
       72    0.000    0.000    0.000    0.000 typing.py:1904(__instancecheck__)
        1    0.000    0.000    0.000    0.000 PredictionMode.py:21(PredictionMode)
      194    0.000    0.000    0.000    0.000 {method 'sum' of 'numpy.ndarray' objects}
      143    0.000    0.000    0.000    0.000 base.py:6324(_maybe_downcast_for_indexing)
        1    0.000    0.000    0.000    0.000 generic.py:154(SeriesGroupBy)
        1    0.000    0.000    0.000    0.000 missing.py:650(construct_1d_array_from_inferred_fill_value)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      584    0.000    0.000    0.000    0.000 base.py:122(_reset_cache)
      199    0.000    0.000    0.000    0.000 styleselector.py:29(__init__)
        1    0.000    0.000    0.000    0.000 idtracking.py:1(<module>)
        3    0.000    0.000    0.000    0.000 missing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 multi.py:758(_values)
       15    0.000    0.000    0.000    0.000 typing.py:1589(copy_with)
       72    0.000    0.000    0.000    0.000 config.py:491(register_option)
       64    0.000    0.000    0.000    0.000 icon.py:205(__str__)
       72    0.000    0.000    0.000    0.000 threading.py:277(__init__)
      284    0.000    0.000    0.000    0.000 _utils.py:447(is_structured_config)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1571(__init__)
       70    0.000    0.000    0.000    0.000 readers.py:1990(__exit__)
       29    0.000    0.000    0.000    0.000 typing.py:1575(__getitem__)
        1    0.000    0.000    0.000    0.000 argparse.py:1772(__init__)
        1    0.000    0.000    0.000    0.000 expat.py:1(<module>)
     1592    0.000    0.000    0.000    0.000 base.py:831(_reset_identity)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        6    0.000    0.000    0.000    0.000 printing.py:524(adjoin)
      225    0.000    0.000    0.000    0.000 scanner.py:752(scan_to_next_token)
        4    0.000    0.000    0.000    0.000 managers.py:869(take)
        1    0.000    0.000    0.000    0.000 signal.py:1(<module>)
       65    0.000    0.000    0.000    0.000 featgeom.py:711(__init__)
        1    0.000    0.000    0.000    0.000 resample.py:121(Resampler)
     3368    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        2    0.000    0.000    0.000    0.000 format.py:686(_truncate_vertically)
        2    0.000    0.000    0.000    0.000 common.py:151(__exit__)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
      159    0.000    0.000    0.000    0.000 missing.py:305(_isna_string_dtype)
        3    0.000    0.000    0.000    0.000 generic.py:4142(_take_with_is_copy)
        3    0.000    0.000    0.000    0.000 managers.py:2259(_consolidate)
       67    0.000    0.000    0.000    0.000 fields.py:209(__init__)
        1    0.000    0.000    0.000    0.000 managers.py:1(<module>)
      140    0.000    0.000    0.000    0.000 common.py:1204(is_potential_multi_index)
     1511    0.000    0.000    0.000    0.000 common.py:1590(<genexpr>)
       10    0.000    0.000    0.000    0.000 extras.py:250(__init__)
      653    0.000    0.000    0.000    0.000 blocks.py:2674(get_block_type)
        1    0.000    0.000    0.000    0.000 _mixins.py:1(<module>)
       70    0.000    0.000    0.000    0.000 readers.py:1622(close)
        6    0.000    0.000    0.000    0.000 printing.py:31(adjoin)
       67    0.000    0.000    0.000    0.000 threading.py:424(notify_all)
       10    0.000    0.000    0.000    0.000 extras.py:255(getdoc)
        1    0.000    0.000    0.000    0.000 tzinfo.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _typing_extra.py:292(get_model_type_hints)
        1    0.000    0.000    0.000    0.000 printoptions.py:1(<module>)
        2    0.000    0.000    0.000    0.000 string.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
      145    0.000    0.000    0.000    0.000 base.py:6415(_is_comparable_dtype)
     4648    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
     1822    0.000    0.000    0.000    0.000 construction.py:758(_maybe_repeat)
     1592    0.000    0.000    0.000    0.000 common.py:372(apply_if_callable)
      135    0.000    0.000    0.000    0.000 substyle.py:86(__init__)
      419    0.000    0.000    0.000    0.000 base.py:609(_dtype_to_subclass)
      192    0.000    0.000    0.000    0.000 contextlib.py:132(__enter__)
        1    0.000    0.000    0.000    0.000 category.py:1(<module>)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
     6320    0.000    0.000    0.000    0.000 ATNDeserializer.py:431(readInt)
        8    0.000    0.000    0.000    0.000 spawn.py:160(get_preparation_data)
     1063    0.000    0.000    0.000    0.000 construction.py:481(ensure_wrapped_if_datetimelike)
       65    0.000    0.000    0.000    0.000 process.py:194(_get_chunks)
       29    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
       75    0.000    0.000    0.000    0.000 cast.py:1604(maybe_cast_to_integer_array)
      186    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       70    0.000    0.000    0.000    0.000 common.py:266(index_labels_to_array)
      106    0.000    0.000    0.000    0.000 typing.py:1123(_generic_init_subclass)
        1    0.000    0.000    0.000    0.000 stata.py:1(<module>)
        7    0.000    0.000    0.000    0.000 managers.py:1633(as_array)
      763    0.000    0.000    0.000    0.000 enum.py:720(__call__)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
        4    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
      130    0.000    0.000    0.000    0.000 expatbuilder.py:806(reset)
     1723    0.000    0.000    0.000    0.000 flags.py:51(__init__)
       75    0.000    0.000    0.000    0.000 accessor.py:207(_validate)
        1    0.000    0.000    0.000    0.000 info.py:1(<module>)
        1    0.000    0.000    0.000    0.000 process.py:598(_check_system_limits)
        1    0.000    0.000    0.000    0.000 header.py:1(<module>)
       93    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        3    0.000    0.000    0.000    0.000 main.py:421(model_dump)
        1    0.000    0.000    0.000    0.000 scope.py:1(<module>)
       65    0.000    0.000    0.000    0.000 featgeom.py:442(__init__)
      992    0.000    0.000    0.000    0.000 reader.py:99(forward)
      206    0.000    0.000    0.000    0.000 substyle.py:33(__init__)
        3    0.000    0.000    0.000    0.000 {method 'to_python' of 'pydantic_core._pydantic_core.SchemaSerializer' objects}
       72    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
        4    0.000    0.000    0.000    0.000 frame.py:12590(values)
      194    0.000    0.000    0.000    0.000 _methods.py:50(_sum)
     1568    0.000    0.000    0.000    0.000 _parser.py:176(append)
        1    0.000    0.000    0.000    0.000 multi.py:1(<module>)
     3558    0.000    0.000    0.000    0.000 minidom.py:701(_ensure_attributes)
