    ncalls  tottime  percall  cumtime  percall filename:lineno(function)
1958/1840    0.013    0.000    0.113    0.000 {built-in method builtins.__build_class__}
      699    0.109    0.000    0.109    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.095    0.095 launch.py:1(<module>)
       70    0.086    0.001    0.092    0.001 c_parser_wrapper.py:222(read)
      128    0.001    0.000    0.086    0.001 kml_generator.py:31(add_line)
  793/785    0.001    0.000    0.085    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      192    0.000    0.000    0.081    0.000 featgeom.py:1084(coords)
      398    0.062    0.000    0.080    0.000 coordinates.py:25(addcoordinates)
       57    0.000    0.000    0.076    0.001 <frozen importlib._bootstrap_external>:1291(create_module)
       57    0.072    0.001    0.076    0.001 {built-in method _imp.create_dynamic}
    57/33    0.000    0.000    0.071    0.002 <frozen importlib._bootstrap_external>:1299(exec_module)
    57/33    0.017    0.000    0.071    0.002 {built-in method _imp.exec_dynamic}
      820    0.003    0.000    0.068    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.065    0.065 frame.py:1(<module>)
      779    0.000    0.000    0.061    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
      779    0.001    0.000    0.060    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
     1086    0.004    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
        9    0.000    0.000    0.057    0.006 base.py:1(<module>)
       65    0.000    0.000    0.056    0.001 minidom.py:1996(parseString)
       65    0.000    0.000    0.053    0.001 expatbuilder.py:914(parseString)
       65    0.000    0.000    0.052    0.001 expatbuilder.py:216(parseString)
       65    0.033    0.001    0.051    0.001 {method 'Parse' of 'pyexpat.xmlparser' objects}
  751/552    0.004    0.000    0.047    0.000 series.py:389(__init__)
      694    0.006    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:755(_compile_bytecode)
26129/25568    0.003    0.000    0.042    0.000 {built-in method builtins.hasattr}
     3761    0.038    0.000    0.042    0.000 {built-in method posix.stat}
       75    0.000    0.000    0.041    0.001 frame.py:694(__init__)
       72    0.001    0.000    0.039    0.001 construction.py:423(dict_to_mgr)
388708/387884    0.030    0.000    0.039    0.000 {built-in method builtins.isinstance}
      694    0.038    0.000    0.038    0.000 {built-in method marshal.loads}
   174122    0.038    0.000    0.038    0.000 {method 'search' of 're.Pattern' objects}
     3026    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.036    0.036 __config__.py:1(<module>)
   174216    0.025    0.000    0.035    0.000 enum.py:202(__get__)
      9/8    0.000    0.000    0.034    0.004 __init__.py:73(import_module)
      9/8    0.000    0.000    0.034    0.004 <frozen importlib._bootstrap>:1375(_gcd_import)
       65    0.000    0.000    0.034    0.001 minidom.py:49(toprettyxml)
      5/4    0.000    0.000    0.033    0.008 __init__.py:416(__getattr__)
       65    0.000    0.000    0.033    0.001 minidom.py:1816(writexml)
  2489/65    0.001    0.000    0.033    0.001 base.py:286(writexml)
  2489/65    0.005    0.000    0.033    0.001 minidom.py:871(writexml)
        1    0.000    0.000    0.033    0.033 _migration.py:1(<module>)
        3    0.000    0.000    0.032    0.011 version.py:1(<module>)
     1060    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     1153    0.000    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        4    0.000    0.000    0.030    0.007 _model_construction.py:80(__new__)
   137/76    0.000    0.000    0.029    0.000 connection.py:182(send_bytes)
   137/76    0.001    0.000    0.029    0.000 connection.py:406(_send_bytes)
  201/140    0.001    0.000    0.029    0.000 connection.py:381(_send)
  228/162    0.028    0.000    0.028    0.000 {built-in method posix.write}
       70    0.000    0.000    0.028    0.000 readers.py:1575(__init__)
       64    0.000    0.000    0.027    0.000 shutil.py:421(copy)
      199    0.001    0.000    0.026    0.000 series.py:607(_init_dict)
   436308    0.026    0.000    0.026    0.000 {method 'append' of 'list' objects}
      132    0.000    0.000    0.026    0.000 connection.py:439(_poll)
       70    0.001    0.000    0.026    0.000 readers.py:1848(_make_engine)
        3    0.000    0.000    0.026    0.009 __init__.py:326(__getattr__)
        3    0.000    0.000    0.025    0.008 _model_construction.py:562(complete_model_class)
        2    0.000    0.000    0.025    0.013 config.py:1(<module>)
303009/295377    0.016    0.000    0.025    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.025    0.025 core_schema.py:1(<module>)
        2    0.000    0.000    0.024    0.012 array.py:1(<module>)
        3    0.000    0.000    0.024    0.008 _utils.py:1(<module>)
        2    0.000    0.000    0.024    0.012 indexing.py:1(<module>)
