Time,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/h-sl-meters,/fdm/jsbsim/aero/alpha-rad,velocities/vtrue-ms,velocities/vg-ms,attitude/phi-deg,attitude/theta-deg,attitude/psi-deg,aero/qbar-Pa,/fdm/jsbsim/metrics/Sw-sqft
0,40.2428650000000019,140.010449999999992,8.80004833817482002,-1.83259571459404635,7.00000022400495947,0,-3.68661589030192536e-14,74.9999999959652541,291.999999984291321,29.987424374482039,0.173298958235855366
0.01,40.2428649999999166,140.010450000000247,8.80004825982749495,-1.83259571459183612,1.31151037646684232,4.47608075748563283e-12,-7.37323178060379998e-13,74.9999999959684089,291.999999984290525,1.0526561204656939,0.173298958235855366
0.02,40.2428649999983463,140.010450000005164,8.80004657706320259,-1.83259571455106696,1.31150980523166671,8.38361471529734287e-11,-1.47464635612041466e-12,74.9999999959680395,291.999999984292458,1.052655203639975,0.173298958235855366
0.03,40.2428649999843557,140.010450000049048,8.80003158093094839,-1.83259571418409739,1.31150468571257273,7.95683383446736035e-10,-2.03992745929555716e-12,74.9999999959386372,291.999999984317583,1.05264698689297198,0.173298958235855366
0.04,40.242864999966514,140.010450000105038,8.80001245737075877,-1.83259571368144103,1.31149767475736301,1.77060178352721346e-09,-2.55605368392911896e-12,74.9999999958969568,291.999999984352371,1.05263573447283498,0.173298958235855366
0.05,40.2428649999423271,140.010450000180953,8.7999865312188863,-1.83259571300307988,1.31148821529197912,3.08573957315222906e-09,-2.97387015148270733e-12,74.9999999958395449,291.999999984399665,1.05262055234578478,0.173298958235855366
0.06,40.2428649999124417,140.010450000274773,8.79995449284017184,-1.83259571215856343,1.31147643971048633,4.72321166248886137e-09,-3.37939789939554859e-12,74.9999999957673111,291.999999984458668,1.05260165308255993,0.173298958235855366
0.07,40.2428649998750032,140.010450000392268,8.7999143585711721,-1.83259571110195485,1.31146170490991754,6.77198292764597637e-09,-3.6374610116906368e-12,74.9999999956761627,291.999999984532849,1.05257800464853468,0.173298958235855366
0.08,40.2428649998283063,140.010450000538839,8.79986430030763245,-1.83259570978361341,1.31144332066686387,9.3283107970575505e-09,-3.79721436690464208e-12,74.9999999955615237,291.999999984625561,1.05254849946003093,0.173298958235855366
0.09,40.242864999776927,140.010450000700104,8.79980921532511751,-1.83259570831696106,1.3114228700813455,1.21720436782660664e-08,-3.88323540430942569e-12,74.9999999954335834,291.999999984728902,1.05251567844848881,0.173298958235855366
0.1,40.2428649997259527,140.010450000860089,8.79975457317531173,-1.83259570670074456,1.31140033239942078,1.53057483460363125e-08,-3.82179180610397803e-12,74.999999995292157,291.999999984842987,1.0524795084619607,0.173298958235855366
0.11,40.2428650010471713,140.010449996619712,8.80066316483616795,-1.43964133119924553,1.29626983509317717,0.0761424451456677864,0.000492506728198171661,75.000041296275711,292.000509862549222,1.0283332110854142,0.173298958235855366
0.12,40.2428650050302821,140.010449983853448,8.80349206874370616,-0.996413822973256869,1.31811241630633202,0.159041387108750099,0.00207479894600220245,75.0002067375665717,292.002147962912034,1.0632804193911205,0.173298958235855366
0.13,40.2428650120092044,140.010449961512961,8.80860160424709449,-0.655766904518956584,1.3902817257138067,0.250236366607482053,0.00476320111752609465,75.0005292192694952,292.004931182755229,1.1829008117404205,0.173298958235855366
0.14,40.242865022220812,140.010449928851642,8.81624652164876466,-0.444595629427161465,1.51865851420700948,0.348187011738791907,0.00861543725946919449,75.0010156141405702,292.008919276210122,1.4114407147481316,0.173298958235855366
0.15,40.2428650359665383,140.010449884917875,8.82675171935856362,-0.310264904642860884,1.71535238753153862,0.457450933604148846,0.0137373015586850136,75.0016651071410081,292.014221759752388,1.80073019515570398,0.173298958235855366
0.16,40.242865053706268,140.010449828259851,8.84061275442838657,-0.222074037644237249,1.98897940469062418,0.5804879331648507,0.0202923354089254125,75.0024806345696788,292.021007929347832,2.42103985372381114,0.173298958235855366
0.17,40.2428650758984645,140.010449757427324,8.85832440384328379,-0.163045325999786411,2.33673332927824795,0.716765943243221404,0.0285102417590616802,75.0034707191429533,292.029515570102717,3.3416344052089908,0.173298958235855366
0.18,40.2428651029455793,140.010449671143164,8.88032217313349292,-0.123294283653235373,2.73638204745536839,0.860992122010664329,0.0386863367102306122,75.0046480367742703,292.040050386034864,4.58240188898728551,0.173298958235855366
0.19,40.2428651349790911,140.010449568978203,8.90675177242756,-0.0959881258034210316,3.16011515994208869,1.00707435588987226,0.0511671806802464421,75.0060265286763297,292.052971124950091,6.11145230565841935,0.173298958235855366
0.2,40.2428651720783748,140.010449450666869,8.93770323302149805,-0.0760644272985759595,3.60859048988124487,1.15678237125445205,0.0663296941632866704,75.0076186876613633,292.068667944642812,7.96915947713930706,0.173298958235855366
0.21,40.2428652143909815,140.010449315730682,8.9733395366549491,-0.0610133899568881949,4.07918534326759996,1.31027737921338017,0.0845798583026369927,75.0094346273761658,292.087561073281449,10.183163301900473,0.173298958235855366
0.22,40.242865262022768,140.010449163822869,9.01377889240980146,-0.0493447153478584755,4.57008451693770468,1.4676292765935981,0.106353214452786657,75.0114817001257421,292.110101320149454,12.7815230771242003,0.173298958235855366
0.23,40.2428653151225291,140.010448994464184,9.05918516882658054,-0.0401371385835610564,5.07769779283948797,1.62824818757659262,0.132114382617026099,75.0137640512892716,292.136769574910772,15.7785085890351482,0.173298958235855366
0.24,40.2428653737588675,140.010448807428048,9.10963610802590829,-0.0327677810049243276,5.59799658910143805,1.79132735278643751,0.162356873540479729,75.016282457884472,292.168076601808423,19.1776508036904332,0.173298958235855366
0.25,40.2428654380547997,140.010448602321276,9.16526687731146872,-0.0267615456583584245,6.13524806930896727,1.95819140000557845,0.19760112392417542,75.0190337771092146,292.20456101472206,23.0352050469434424,0.173298958235855366
0.26,40.2428655081174043,140.010448378809343,9.22619334442913619,-0.0218393893020158089,6.6835325253243214,2.12739156597877965,0.238340166253744407,75.0220096122917255,292.246733011098058,27.3361543864781567,0.173298958235855366
0.27,40.2428655840324012,140.010448136664337,9.2924975821763276,-0.0177675074059713174,7.24327730743237286,2.29912117144324313,0.284635860378828154,75.0251855340977869,292.294656430279247,32.1064838694703809,0.173298958235855366
0.28,40.2428656659347297,140.010447875553069,9.3643007155179987,-0.0143701822483321487,7.81768585047767672,2.47428696125909608,0.335959743235873187,75.0285226526967932,292.347784026284899,37.4003749815520905,0.173298958235855366
0.29,40.2428657539651198,140.0104475951496,9.44172280321419244,-0.0115287200219296084,8.40340264487840471,2.65206484057919845,0.391485258825888915,75.0319804450496974,292.405260010559005,43.2142166428030734,0.173298958235855366
0.3,40.2428658482270052,140.010447295251026,9.52484203476011793,-0.00914708690529985116,8.9963501531998169,2.831440449256585,0.450332335962847496,75.0355239902785485,292.466173243024741,49.5274004353709216,0.173298958235855366
0.31,40.2428659488129341,140.010446975686506,9.61372536873221506,-0.00714194689649344776,9.59875791162679981,3.01304294047425714,0.511696703535668318,75.0391258984505924,292.52969109270839,56.3818345609253271,0.173298958235855366
0.32,40.2428660558538382,140.010446636161248,9.70848191570341612,-0.00544993401472550123,10.2141233236279305,3.19781911601061664,0.574917360821530776,75.0427658298836775,292.595129270783161,63.842130045349883,0.173298958235855366
0.33,40.2428661694708794,140.010446276403627,9.80921235993504581,-0.00402637239788931553,10.8359108098729138,3.38409114283293366,0.639471417592509028,75.0464287026437944,292.661946479870778,71.8508345560135524,0.173298958235855366
0.34,40.242866289722123,140.010445896327127,9.91595331915021028,-0.00282956072383293419,11.4643016234206954,3.57192833463915616,0.704992297174755977,75.0501033104993951,292.729763245252457,80.4251222171898377,0.173298958235855366
0.35,40.2428664167318502,140.010445495640312,10.0288117260932932,-0.00182561032301623884,12.1061179703037567,3.76312437246120624,0.771187856048834774,75.0537805637798812,292.798277154555421,89.6812429647903144,0.173298958235855366
0.36,40.2428665506056404,140.010445074099636,10.1478775995701564,-0.000990255950524596964,12.7496912117719585,3.95465599139330992,0.837930912929759519,75.0574528472082676,292.867356550757734,99.4686407603440301,0.173298958235855366
0.37,40.2428666913252542,140.010444631834872,10.2731121871769435,-0.000299072354080267655,13.3907054007617781,4.14541440420778695,0.905128047507007594,75.0611130953818986,292.936904728616355,109.720692141762811,0.173298958235855366
0.38,40.242866838935889,140.010444168784744,10.4045426595389845,0.000267883008869048843,14.0376050528909815,4.33760432598461776,0.97269191579042813,75.0647546602123867,293.006831278806715,120.576364469136436,0.173298958235855366
0.39,40.2428669934995895,140.010443684832126,10.5422152188688525,0.000726107949531111757,14.6869353631597317,4.5303365412454788,1.04061394206011637,75.0683709037901963,293.077127320201043,131.987490642537125,0.173298958235855366
0.4,40.2428671550431147,140.010443179960504,10.686141046124698,0.0010890496599370162,15.3393395824630847,4.72378400439004142,1.10898095246926309,75.0719548060319113,293.147882709707687,143.971896893659988,0.173298958235855366
0.41,40.2428673236266121,140.010442654055083,10.8363653885900977,0.00136775722281205965,15.9948260708019561,4.91795378968948249,1.17787899223679982,75.0754993790891234,293.2191864940188,156.537063168413056,0.173298958235855366
0.42,40.2428674992867599,140.010442107072379,10.9929088788628579,0.0015715782724962722,16.6559977402733708,5.11352436793063614,1.24738602843411428,75.0789978638066486,293.291119357930882,169.74340741235855,0.173298958235855366
0.43,40.2428676821173354,140.010441538802098,11.1558500629752881,0.00170831508478128786,17.3219901292855489,5.31027480254548134,1.31757125461243452,75.0824438918451307,293.363752905173556,183.586350117854948,0.173298958235855366
0.44,40.2428678721335231,140.010440949267235,11.3251866768032325,0.00178578392101987104,17.9871940854708576,5.50675514936542232,1.38850112217453114,75.0858315759542307,293.437155900953485,197.954142159004334,0.173298958235855366
0.45,40.2428680693610872,140.010440338460569,11.5009269490867858,0.00181012490367995116,18.6527921818033313,5.70327507611294138,1.46024271839968245,75.0891556099738438,293.511397767770461,212.871796928107585,0.173298958235855366
0.46,40.242868273796141,140.010439706462847,11.6830485497027645,0.0017874088932276367,19.3134294233746218,5.89845162508771637,1.53285455148358318,75.0924114885266221,293.586539049410874,228.213652352042317,0.173298958235855366
0.47,40.2428684854229815,140.010439053390655,11.8715167208254346,0.00172189868672754649,19.976463790863086,6.09419158407610517,1.60638487557516974,75.0955956597531582,293.662629678044709,244.147449955891148,0.173298958235855366
0.48,40.2428687043173099,140.010438379096172,12.0663886889308696,0.00161740044305297144,20.6414356231863501,6.29037812850624523,1.68087086365701199,75.0987056440422549,293.739708118564238,260.66735160235271,0.173298958235855366
0.49,40.2428689304627198,140.010437683700644,12.2676280702024698,0.00147814322272619937,21.3033308894379019,6.48571637004699397,1.75633754940732745,75.1017401631126802,293.817800274373781,277.647312459893158,0.173298958235855366
0.5,40.2428691638828369,140.010436967211234,12.4752382369816317,0.00130704799149957101,21.9654490780768406,6.68106155055079842,1.83279664578626922,75.1046992709234758,293.896918264985516,295.168469251736155,0.173298958235855366
0.51,40.2428694045807873,140.010436229695898,12.6892013987481604,0.0011071735765685231,22.6255163688233409,6.87582754880104119,1.91024546729645706,75.1075844610147243,293.97705931122249,313.168350947479098,0.173298958235855366
0.52,40.2428696525850285,140.010435471151908,12.9095244568794971,0.000880727078697827212,23.2905681930493706,7.07183382255015847,1.98866571243175283,75.1103987765638266,294.058204475504681,331.842376374465687,0.173298958235855366
0.53,40.2428699079857495,140.010434691402821,13.1362750637233265,0.000629797677615250235,23.9606439993544029,7.2690914171992782,2.06802232347417414,75.113146906242747,294.140317482145235,351.203789918229063,0.173298958235855366
0.54,40.2428701707983691,140.010433890487803,13.369445634350182,0.000356825540487413736,24.6245151216180673,7.464700814765588,2.14826209315855765,75.1158352946102639,294.223343275995887,370.926508278839492,0.173298958235855366
0.55,40.2428704409690852,140.010433068643664,13.6089594144970185,6.39291783383405456e-05,25.2827860390950718,7.65881946508257183,2.22931205711857938,75.1184722500891695,294.307206359139457,391.014052510515683,0.173298958235855366
0.56,40.2428707185138137,140.010432225910165,13.8548085660249001,-0.000247189819049037287,25.9436138790727568,7.85355502109046721,2.31109465339985976,75.1210678445186915,294.391826476145923,411.711689214000444,0.173298958235855366
0.57,40.242871003488105,140.010431362204116,14.107027626478672,-0.000574960784246166933,26.608355368506178,8.04925919272340806,2.39369957230352171,75.123632177145268,294.477296424313238,433.06969939255697,0.173298958235855366
0.58,40.2428712959411996,140.010430477454236,14.3656465835809719,-0.000917932124048417906,27.2750998326228924,8.24543945932951949,2.47734394235554012,75.1261758903573025,294.56384085124273,455.033787878206397,0.173298958235855366
0.59,40.242871595894016,140.010429571667714,14.6306677718549967,-0.00127476400720734611,27.9402819711007453,8.44117636138905247,2.56227587249935151,75.1287112908835155,294.651716446628825,477.486903305493456,0.173298958235855366
