Time,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/h-sl-meters,/fdm/jsbsim/aero/alpha-rad,velocities/vtrue-ms,velocities/vg-ms,attitude/phi-deg,attitude/theta-deg,attitude/psi-deg,aero/qbar-Pa
0,40.2428650000000019,140.010449999999992,8.80004833817482002,1.4137166941154069,5.00000016000354197,0,-1.42320829130084566e-13,80.9999999956424119,291.999999984291208,15.2997063135112441
0.01,40.2428649999999237,140.010450000000134,8.80004825982749495,1.41371669411454648,0.936793125904381352,4.48509247367493465e-12,-1.34188210322652091e-12,80.99999999564794,291.9999999842899,0.537069449052808845
0.02,40.2428649999989574,140.010450000003146,8.80004654186368107,1.41371669409987022,0.936792709468626139,8.71400380611968816e-11,-2.76509039452676128e-12,80.9999999956516064,291.999999984289957,0.537068971642551518
0.03,40.2428649999903243,140.010450000029692,8.80003121190369164,1.41371669396832167,0.936788970381027153,8.29623556115085055e-10,-4.04597785668846496e-12,80.9999999956375376,291.999999984304111,0.537064685087974003
0.04,40.242864999979318,140.010450000063514,8.80001166027188297,1.41371669378834031,0.93678384906773382,1.84654431072478442e-09,-5.22520758374795148e-12,80.9999999956160224,291.999999984324234,0.537058813953788405
0.05,40.2428649999643895,140.010450000109387,8.7999851493537431,1.41371669354552254,0.936776937865004378,3.21865599645208431e-09,-6.32311112272014801e-12,80.9999999955850711,291.999999984351859,0.537050890919806845
0.06,40.2428649999459154,140.010450000166088,8.79995238881707209,1.41371669324311733,0.936768335269039576,4.92687266500342261e-09,-7.38035156763958035e-12,80.9999999955452665,291.999999984386534,0.537041028946860899
0.07,40.2428649999227943,140.010450000237114,8.79991134957969301,1.41371669286476509,0.936757570544395346,7.06420908937804313e-09,-8.25460808937427031e-12,80.9999999954938232,291.999999984430588,0.537028688447851121
0.08,40.2428649998939463,140.010450000325676,8.79986016493141676,1.41371669239269626,0.936744139196248771,9.73106536183402443e-09,-9.0882015170477288e-12,80.9999999954281975,291.999999984485839,0.537013291175229224
0.09,40.2428649998622063,140.010450000423162,8.79980384115278724,1.41371669186749505,0.936729198769012394,1.26976834454817854e-08,-9.86080030364587157e-12,80.9999999953546848,291.999999984547458,0.536996164201409942
0.1,40.2428649998307151,140.010450000519882,8.79974796588420993,1.4137166912887229,0.936712733280026022,1.59668909198077661e-08,-1.05520729021505334e-11,80.9999999952730292,291.999999984615556,0.536977289287820847
0.11,40.2428650006465816,140.010449997973978,8.80068863566517834,1.21180898580628149,0.997240632605191246,0.0458009719167188356,-0.000164524045294120924,80.9999298592651371,291.999833408099676,0.608615435053696752
0.12,40.2428650031054147,140.010449990309326,8.80361457330286612,1.01636082572305675,1.10389812548162558,0.0956576599823389384,-0.000710931689982556483,80.9996884667170747,291.99928018413874,0.745763117266315945
0.13,40.2428650074129308,140.010449976896041,8.80889470726847712,0.843734355088188503,1.26277442897974956,0.150499554498881666,-0.00167850823887320572,80.9992455712888386,291.998300536439388,0.975875122291786745
0.14,40.2428650137156367,140.010449957286625,8.81678987851739038,0.703791386804594299,1.4693588606974608,0.209394391121999812,-0.00312658774470669963,80.9985614880890381,291.996834389178161,1.32128989088382331
