    ,0
0   ,0.466
0.2 ,0.443255814
0.4 ,0.409139535
0.6 ,0.375023256
0.8 ,0.409139535
1   ,0.69344186
1.2 ,1.023232558
1.4 ,1.011860465
1.6 ,0.898139535
