time,thrust
0.402,3.110547
0.403,2.488437
0.404,4.976875
0.405,0
0.406,7.465312
0.407,4.354765
0.408,1.866328
0.409,9.33164
0.41,3.732656
0.411,14.930624
0.412,0
0.413,1.244219
0.414,11.820078
0.415,0
0.416,6.221094
0.417,4.976875
0.418,0
0.419,3.110547
0.42,0
0.421,13.064297
0.422,6.843203
0.423,0
0.424,4.354765
0.425,0
0.426,0
0.427,0
0.428,12.442187
0.429,1.866328
0.43,6.221094
0.431,0
0.432,1.244219
0.433,0
0.434,14.930624
0.435,0
0.436,0
0.437,6.843203
0.438,3.732656
0.439,0
0.44,3.732656
0.441,5.598984
0.442,7.465312
0.443,1.244219
0.444,0
0.445,0
0.446,0
0.447,6.843203
0.448,6.221094
0.449,6.221094
0.45,0.622109
0.451,3.110547
0.452,9.33164
0.453,2.488437
0.454,3.110547
0.455,3.732656
0.456,0
0.457,0
0.458,0
0.459,7.465312
0.46,0
0.461,8.709531
0.462,10.575859
0.463,8.709531
0.464,0
0.465,10.575859
0.466,3.732656
0.467,3.732656
0.468,3.110547
0.469,4.354765
0.47,7.465312
0.471,5.598984
0.472,1.244219
0.473,3.732656
0.474,7.465312
0.475,6.843203
0.476,3.732656
0.477,10.575859
0.478,6.221094
0.479,6.221094
0.48,8.087421
0.481,5.598984
0.482,7.465312
0.483,0
0.484,0
0.485,0
0.486,8.087421
0.487,3.110547
0.488,0
0.489,0
0.49,0
0.491,1.244219
0.492,7.465312
0.493,0
0.494,1.866328
0.495,6.221094
0.496,0
0.497,2.488437
0.498,3.732656
0.499,1.866328
0.5,0
0.501,3.732656
0.502,6.221094
0.503,0
0.504,0
0.505,4.354765
0.506,0
0.507,0
0.508,9.95375
0.509,0
0.51,1.866328
0.511,0
0.512,0.622109
0.513,0.622109
0.514,7.465312
0.515,0
0.516,5.598984
0.517,9.95375
0.518,10.575859
0.519,0.622109
0.52,0
0.521,0
0.522,9.33164
0.523,0
0.524,0
0.525,9.95375
0.526,0
0.527,9.33164
0.528,1.866328
0.529,0.622109
0.53,9.95375
0.531,4.354765
0.532,5.598984
0.533,0.622109
0.534,4.354765
0.535,4.976875
0.536,0
0.537,0.622109
0.538,16.796953
0.539,0.622109
0.54,0
0.541,7.465312
0.542,5.598984
0.543,5.598984
0.544,0.622109
0.545,7.465312
0.546,2.488437
0.547,0
0.548,1.866328
0.549,3.110547
0.55,13.686406
0.551,6.221094
0.552,0
0.553,2.488437
0.554,6.843203
0.555,11.197968
0.556,6.221094
0.557,0
0.558,0
0.559,0
0.56,0
0.561,4.976875
0.562,9.33164
0.563,0
0.564,3.732656
0.565,0
0.566,6.221094
0.567,6.221094
0.568,0
0.569,7.465312
0.57,2.488437
0.571,4.354765
0.572,0
0.573,0
0.574,3.110547
0.575,5.598984
0.576,0.622109
0.577,6.221094
0.578,0
0.579,8.087421
0.58,5.598984
0.581,6.843203
0.582,6.221094
0.583,0
