Time,/fdm/jsbsim/position/lat-gc-deg,/fdm/jsbsim/position/long-gc-deg,/fdm/jsbsim/position/h-sl-meters,/fdm/jsbsim/aero/alpha-rad,velocities/vtrue-ms,velocities/vg-ms,attitude/phi-deg,attitude/theta-deg,attitude/psi-deg,aero/qbar-Pa,/fdm/jsbsim/metrics/Sw-sqft
0,40.2428650000000019,140.010449999999992,8.80004833817482002,1.30899693899574721,5.00000016000354197,0,-3.68661589030192536e-14,74.9999999959652541,291.999999984291321,15.2997063135112406,0.173298958235855366
0.01,40.2428649999999166,140.010450000000247,8.80004825982749495,1.30899693899442893,0.936793126042251512,4.47608075748563283e-12,-7.37323178060379998e-13,74.9999999959684089,291.999999984290525,0.537069449210892391,0.173298958235855366
0.02,40.2428649999983463,140.010450000005164,8.80004657706320259,1.30899693897009928,0.936792717919783802,8.38361471529734287e-11,-1.47464635612041466e-12,74.9999999959680395,291.999999984292458,0.53706898133105474,0.173298958235855366
0.03,40.2428649999843557,140.010450000049048,8.80003158093094839,1.3089969387511089,0.936789060247333105,7.95683383446736035e-10,-2.03992745929555716e-12,74.9999999959386372,291.999999984317583,0.537064788112095792,0.173298958235855366
0.04,40.242864999966514,140.010450000105038,8.80001245737075877,1.30899693845114529,0.936784051226424941,1.77060178352721346e-09,-2.55605368392911896e-12,74.9999999958969568,291.999999984352371,0.537059045710361116,0.173298958235855366
0.05,40.2428649999423271,140.010450000180953,8.7999865312188863,1.30899693804632933,0.936777292852401189,3.08573957315222906e-09,-2.97387015148270733e-12,74.9999999958395449,291.999999984399665,0.537051297877694678,0.173298958235855366
0.06,40.2428649999124417,140.010450000274773,8.79995449284017184,1.30899693754235957,0.93676887971437639,4.72321166248886137e-09,-3.37939789939554859e-12,74.9999999957673111,291.999999984458668,0.537041653093713767,0.173298958235855366
0.07,40.2428649998750032,140.010450000392268,8.7999143585711721,1.3089969369118224,0.936758352343972978,6.77198292764597637e-09,-3.6374610116906368e-12,74.9999999956761627,291.999999984532849,0.537029584685060568,0.173298958235855366
0.08,40.2428649998283063,140.010450000538839,8.79986430030763245,1.3089969361250946,0.936745217606407943,9.3283107970575505e-09,-3.79721436690464208e-12,74.9999999955615237,291.999999984625561,0.53701452742270317,0.173298958235855366
0.09,40.242864999776927,140.010450000700104,8.79980921532511751,1.30899693524986138,0.936730606557433676,1.21720436782660664e-08,-3.88323540430942569e-12,74.9999999954335834,291.999999984728902,0.536997778009863702,0.173298958235855366
0.1,40.2428649997259527,140.010450000860089,8.79975457317531173,1.30899693428537489,0.93671450436965531,1.53057483460363125e-08,-3.82179180610397803e-12,74.999999995292157,291.999999984842987,0.536979319528709143,0.173298958235855366
0.11,40.2428650010514275,140.010449996640091,8.80066271632611752,1.11863515852852902,1.02325222091102486,0.0758567777503615093,0.000109738860573669087,74.9999234657806255,292.000113592165178,0.640779226917968625,0.173298958235855366
0.12,40.2428650050447203,140.010449983935843,8.80349072207808625,0.942875446051370747,1.15368175984066257,0.158427631662307722,0.00047815469901522136,74.9996571747608414,292.000494996487873,0.814544784001397071,0.173298958235855366
0.13,40.2428650120377895,140.010449961703642,8.80859944117963423,0.791771295787575768,1.3325370032594086,0.249256459690046311,0.00113729207184835217,74.9991631230867313,292.001177373299356,1.0866789561655632,0.173298958235855366
0.14,40.2428650222663293,140.010449929200888,8.81624391801953422,0.670329266459433359,1.55465505453801534,0.346803243655020244,0.00213161225071054712,74.9983924895946927,292.002206754346787,1.47914404324077497,0.173298958235855366
0.15,40.2428650360308424,140.010449885480995,8.82674910664558432,0.568686307323816864,1.8310534089361219,0.455613109918743542,0.00351716798914158838,74.9972851601349788,292.003641173747553,2.05184225252395969,0.173298958235855366
0.16,40.242865053790382,140.010449829099088,8.84061047327220528,0.483692635226569134,2.16923261610638063,0.578129539230515355,0.00536388732531018885,74.9957663146068114,292.005553033379613,2.8797422483702011,0.173298958235855366
0.17,40.2428650760026727,140.010449758613987,8.85832260412573902,0.41455473288874306,2.56677510882370008,0.713806367370434791,0.00775785900726629497,74.9937430915175582,292.008031471123104,4.03196047347863207,0.173298958235855366
0.18,40.2428651030695832,140.010449672759165,8.88032074812054617,0.361062728785423837,3.0033832376279288,0.857337857476973442,0.0108010889719673143,74.9911036343016661,292.011182111574328,5.5202813845996479,0.173298958235855366
0.19,40.2428651351221944,140.010449571117761,8.90675031562149577,0.320985077518297246,3.45454014713163016,1.00262698855469123,0.0146075172856864038,74.9877198873891615,292.015122949749014,7.30329926047708167,0.173298958235855366
